subject,group,seq_length,delta_proportion
138,human,3,-0.004615384615384611
138,human,4,0.037884615384615385
138,human,5,0.0
138,human,6+,0.0
139,human,1,0.028292131380578733
139,human,2,0.0302575185467632
139,human,3,0.0038211519021060306
139,human,4,-0.0004024787072893764
139,human,5,-6.06444837214068e-05
139,human,6+,0.0
140,human,1,0.05686128399751772
140,human,2,0.08516047817314953
140,human,3,0.04486135023296414
140,human,4,-0.003654517202200765
140,human,5,-0.00044725111146302947
140,human,6+,-0.0001373456142969387
141,human,1,0.030517191795299603
141,human,2,0.012690891682820227
141,human,3,0.0005244972743255298
141,human,4,0.013961917887106337
141,human,5,0.02011980586445889
141,human,6+,0.0077242283986116225
142,human,1,0.009143573072094235
142,human,2,0.010465212230150192
142,human,3,0.04770004485968102
142,human,4,0.028317977258379735
142,human,5,-4.048582995951417e-05
142,human,6+,-2.255639097744361e-05
144,human,1,-0.002852171234696943
144,human,2,0.07403776779385415
144,human,3,0.05103688819195452
144,human,4,0.01104303581826327
144,human,5,-6.375024757377698e-05
144,human,6+,-2.3415743108837734e-05
146,human,1,0.09983513367375013
146,human,2,0.07325473854204706
146,human,3,0.050002456722741576
146,human,4,0.015147590887209066
146,human,5,0.0009579192728224727
146,human,6+,0.0059819859540837786
148,human,1,0.011416144527987337
148,human,2,0.08068141186299055
148,human,3,0.015427161654135314
148,human,4,-0.00041591478696741845
148,human,5,0.0
148,human,6+,0.0
149,human,1,0.06845330636481323
149,human,2,-0.0030417650469511115
149,human,3,-0.011030204154323271
149,human,4,0.006815498483223258
149,human,5,-0.0001026588911282552
149,human,6+,-5.369932063734585e-05
150,human,1,0.06302447231811559
150,human,2,0.03854660115884084
150,human,3,0.047927391383516635
150,human,4,0.028433555186899172
150,human,5,0.002589618082388654
150,human,6+,0.02737165604918529
901,nn,1,0.009166862925587715
901,nn,2,0.009913716359039593
901,nn,3,0.004001653682837319
901,nn,4,0.0010083897919292949
901,nn,5,0.00017788950872384092
901,nn,6+,0.00016687397891546296
902,nn,1,0.009037121320573605
902,nn,2,0.008871247615824349
902,nn,3,0.0028141106760424424
902,nn,4,0.0007353521525546064
902,nn,5,-7.825781419248273e-05
902,nn,6+,5.196156367330397e-05
903,nn,1,0.005862962301307506
903,nn,2,0.008040910166271883
903,nn,3,0.001296536295945068
903,nn,4,0.0005055485698461089
903,nn,5,-8.7608524070293e-05
903,nn,6+,1.503023438246176e-05
904,nn,1,0.009648116261935347
904,nn,2,0.011198326686603907
904,nn,3,0.004993192481570312
904,nn,4,0.0014113951441145347
904,nn,5,0.0001728402398388987
904,nn,6+,0.00010812102694042334
905,nn,1,0.006462253205412438
905,nn,2,0.009700883388498671
905,nn,3,0.0032821773198560902
905,nn,4,0.001333898579159316
905,nn,5,6.864667061858563e-05
905,nn,6+,6.45326606539798e-05
