subject,condition,fixation_advantage
103,all,-0.022600000000000023
103,all,-0.747
103,all,-0.774
103,all,-0.6206
103,all,-0.8334
103,all,-0.192
103,all,1.536
103,all,-0.5017999999999999
103,all,0.844
103,all,1.6676
103,all,-0.0446
103,all,-0.447
103,all,3.2542
103,all,-0.872
103,all,-0.9067999999999999
103,all,-0.836
103,all,-0.2294
103,all,-0.8338
103,all,-1.1628
103,all,-1.8232000000000002
103,all,-1.9502000000000002
103,all,-0.975
103,all,2.528
103,all,-0.6634000000000001
103,all,-0.1174
103,all,-0.5114
103,all,0.015399999999999978
103,all,-0.7312000000000001
103,all,0.213
103,all,1.5275999999999998
103,all,-0.1072
103,all,0.4056
103,all,0.5394
103,all,-0.31439999999999996
103,all,0.7936000000000001
103,all,0.06360000000000002
103,all,1.3834000000000002
103,all,-0.024799999999999954
103,all,1.5912000000000002
103,all,0.07420000000000004
103,all,2.9672
103,all,-0.1554000000000001
103,all,3.1584000000000003
103,all,0.6148
103,all,3.3588000000000005
103,all,-0.1535999999999999
103,all,3.6721999999999997
103,all,1.496
103,all,5.2822
103,all,2.0128
103,all,-0.9268000000000002
103,all,-2.8496
103,all,-0.19080000000000003
103,all,0.89
103,all,-0.3922
103,all,1.4832
103,all,-0.03339999999999998
103,all,1.968
103,all,0.23260000000000003
103,all,-0.36460000000000004
103,all,-0.7847999999999999
103,all,2.1968
103,all,-0.747
103,all,0.06320000000000005
103,all,-0.0342
103,all,-0.4822
103,all,-0.3324
103,all,2.1134
103,all,-0.8512000000000001
103,all,3.3698
103,all,-0.983
103,all,-0.307
103,all,-0.2508
103,all,-0.0154
103,all,-0.1484
103,all,0.8754
103,all,-0.6447999999999999
103,all,-0.7368
103,all,-0.1924
103,all,0.42979999999999996
103,all,-1.5364000000000002
103,all,2.7062
103,all,0.9286
103,all,3.0444
103,all,-0.2436
103,all,-1.0586
103,all,3.7998000000000003
103,all,-0.9412
103,all,3.9424
103,all,0.1905999999999999
103,all,4.2204
103,all,-1.0384000000000002
103,all,5.133
103,all,-0.902
103,all,6.3420000000000005
103,all,-0.4384000000000001
103,all,-2.1728
103,all,-0.006599999999999909
103,all,6.193600000000001
103,all,-0.0198
103,all,-0.1146
103,all,-0.076
103,all,-0.33880000000000005
103,all,-0.38
103,all,0.11860000000000002
103,all,-0.267
103,all,1.186
103,all,-0.021
103,all,-0.8404000000000001
103,all,0.05939999999999998
103,all,1.9348
103,all,-1.4158
103,all,-0.272
103,all,-0.44660000000000005
103,all,1.156
103,all,-0.5502
103,all,-0.5184
103,all,0.16460000000000002
103,all,-0.5722
103,all,0.6287999999999999
103,all,-0.8064000000000001
103,all,-0.06720000000000005
103,all,-0.0882
103,all,0.2554
103,all,0.7724
103,all,0.4908
103,all,-0.6008
103,all,1.09
103,all,1.2042000000000002
103,all,1.05
103,all,2.4642
103,all,-0.8190000000000001
103,all,-0.2382
103,all,1.0566
103,all,-0.633
103,all,0.1688
103,all,2.228
103,all,0.7914
103,all,2.2258000000000004
103,all,-0.9324
103,all,2.8718000000000004
103,all,-0.643
103,all,-0.0316
103,all,0.0798
103,all,0.11139999999999999
103,all,-0.4372
103,all,1.0942
103,all,-0.622
103,all,-0.6886
103,all,1.1602000000000001
103,all,0.031200000000000047
103,all,-0.049799999999999955
103,all,0.6062000000000001
103,all,1.2684000000000002
103,all,0.714
103,all,1.3524
103,all,1.2692
103,all,1.5324000000000002
103,all,1.2464000000000002
103,all,2.6336
103,all,0.24479999999999996
103,all,1.7198
103,all,0.43579999999999997
103,all,2.0924
103,all,-0.0148
103,all,-0.0734
103,all,-0.0838
103,all,-0.0886
103,all,0.2948
103,all,-0.2854
103,all,-0.13640000000000002
103,all,-0.1946
103,all,0.4398
103,all,-0.12360000000000003
103,all,-0.48760000000000003
103,all,0.8778
103,all,-0.217
103,all,1.5712000000000002
103,all,-0.6142000000000001
103,all,-0.891
103,all,0.166
103,all,-0.24939999999999998
103,all,0.43160000000000004
103,all,-0.44359999999999994
103,all,1.5322
103,all,-0.7754000000000001
103,all,3.3200000000000003
103,all,-0.8044000000000001
103,all,-1.339
103,all,-0.0348
103,all,-0.16219999999999998
103,all,-0.2114
103,all,-0.28600000000000003
103,all,-0.13419999999999999
103,all,0.045399999999999975
103,all,-0.09739999999999997
103,all,0.17439999999999997
103,all,-0.26139999999999997
103,all,0.4702
103,all,-0.33520000000000005
103,all,0.021399999999999978
103,all,-0.263
103,all,-0.04620000000000005
103,all,-0.24920000000000006
103,all,0.0032000000000000457
103,all,0.9542
103,all,0.25859999999999994
103,all,0.106
103,all,1.235
103,all,0.25259999999999994
103,all,0.2194000000000001
103,all,0.8668
103,all,-0.163
103,all,1.54
103,all,0.17240000000000008
103,all,2.723
103,all,0.133
103,all,3.0585999999999998
103,all,0.41220000000000007
103,all,3.5136
103,all,-0.9521999999999998
103,all,3.8876
