subject,correct_bin,game,rt,true_offer_value,recalled_offer_value,recalled_total_count,recalled_offer_count
104,1,4,0.5213593749795109,2.0,5.0,5,2
104,1,4,0.430837457999587,3.0,3.0,5,3
104,1,4,4.811406249995343,2.0,5.0,5,2
104,1,4,0.4008932909928262,1.0,5.0,5,2
104,0,4,0.7083544170018286,3.0,5.0,5,3
104,1,4,0.8427637499989942,4.0,5.0,5,3
104,1,4,0.8805609999690205,2.0,7.0,5,2
104,0,5,1.0543427090160549,-7.0,-16.0,5,2
104,0,5,9.378299625008369,-2.0,-10.0,5,2
104,1,5,0.7599747499916703,-3.0,-8.0,5,3
104,0,5,1.4652923750691116,-6.0,-6.0,5,3
104,1,5,1.0646406250307336,-6.0,-12.0,5,2
104,1,5,3.4867622080491856,-3.0,-14.0,5,2
104,0,5,2.8579910829430446,-2.0,-4.0,5,3
104,1,5,1.2372581659583377,-7.0,-10.0,5,3
104,1,6,2.7241994170472026,-4.0,3.0,4,1
104,0,6,6.599914000020362,-2.0,3.0,4,1
104,0,6,3.878611791995354,-2.0,-6.0,4,2
104,0,6,4.069019917049445,-1.0,1.0,4,3
104,0,6,1.727344833081588,-1.0,10.0,4,2
104,0,6,1.924536957987584,-1.0,1.0,4,3
104,1,6,0.6081641250057146,1.0,1.0,4,3
104,1,6,11.465849000029266,-2.0,3.0,4,1
104,1,7,9.729151666979304,3.0,10.0,6,3
104,0,7,2.8362104169791564,-4.0,3.0,6,3
104,1,7,1.511956917005591,16.0,16.0,6,3
104,1,7,11.2331016670214,9.0,9.0,6,3
104,1,7,6.256807332974859,9.0,9.0,6,3
104,1,7,6.391611875034869,9.0,9.0,6,3
104,1,7,5.509306167019531,3.0,10.0,6,3
104,1,7,9.435082374955527,3.0,10.0,6,3
105,0,1,6.351288583944552,-11.0,7.0,3,2
105,0,1,3.798770499997772,5.0,-1.0,3,1
105,1,1,1.113639457966201,1.0,9.0,3,2
105,1,1,4.153576708049513,-11.0,-1.0,3,1
105,0,1,5.310788374976255,-4.0,,3,0
105,0,1,2.819347291951999,-6.0,8.0,3,3
105,1,1,2.3712131249485537,-15.0,9.0,3,2
105,1,1,3.0312586670042947,1.0,1.0,3,1
105,1,2,4.049898999975994,4.0,20.0,3,3
105,0,2,4.394204374984838,2.0,4.0,3,1
105,1,2,0.5587012500036508,4.0,16.0,3,2
105,0,2,3.147713084006682,8.0,12.0,3,2
105,0,2,1.215079625020735,2.0,,3,0
105,1,2,0.7869795829756185,2.0,,3,0
105,1,2,0.832736958982423,4.0,20.0,3,3
105,0,2,0.8065602920250967,-2.0,8.0,3,1
105,1,3,1.683105874923058,1.0,4.0,2,1
105,1,3,2.18022595893126,-1.0,,2,0
105,1,3,1.5088404170237482,1.0,2.0,2,2
105,1,3,2.512704540975392,-1.0,,2,0
105,0,3,0.7977782919770107,-1.0,,2,0
105,1,3,1.5943599159363655,1.0,2.0,2,2
105,0,3,1.4525454170070589,-1.0,-2.0,2,1
105,1,3,1.1042189999716356,1.0,2.0,2,2
105,1,4,3.0387176249641925,4.0,9.0,2,1
105,1,4,2.7253818339668214,8.0,,2,0
105,0,4,2.7894099169643596,13.0,,2,0
105,1,4,1.695655290968716,9.0,9.0,2,1
105,1,4,0.3650377499870956,-1.0,18.0,2,2
105,1,4,0.5698484999593347,4.0,18.0,2,2
105,1,4,2.3158307910198346,8.0,9.0,2,1
105,0,4,3.869751499965787,3.0,9.0,2,1
105,0,5,2.632470833021216,2.0,-8.0,2,1
105,1,5,3.747956500039436,-3.0,,2,0
105,0,5,5.405779791995883,1.0,3.0,2,1
105,0,5,6.345956749981269,2.0,-5.0,2,2
