subject,game,option,choice,correct,rt,true_offer_value,recalled_offer_value,recalled_total_count,recalled_offer_count
106,2,Land,1.0,1.0,2.234942250070162,8.0,8.0,6,3
106,2,Animal,1.0,0.0,2.05441516591236,-2.0,-2.0,6,3
106,3,Large,0.0,1.0,14.918108790996484,-5.0,-5.0,5,3
106,3,Small,1.0,0.0,4.4598969999933615,-2.0,0.0,5,2
106,3,Land,1.0,1.0,1.605088124983013,2.0,4.0,5,2
106,3,Solid,0.0,1.0,5.856614290969446,-8.0,-8.0,5,3
106,3,Sea,0.0,1.0,7.002851124969311,-9.0,-9.0,5,3
106,3,Object,1.0,0.0,5.042139875004068,-5.0,-5.0,5,3
106,3,Pattern,1.0,1.0,0.2882426249561831,1.0,3.0,5,2
106,3,Animal,1.0,0.0,11.514413958997466,-2.0,0.0,5,2
106,4,Object,0.0,1.0,8.043628499959596,-13.0,-3.0,5,3
106,4,Animal,0.0,0.0,8.080775292008184,1.0,-6.0,5,2
106,4,Pattern,1.0,0.0,0.854230625089258,-5.0,-10.0,5,3
106,4,Large,0.0,1.0,2.543876833980903,-5.0,1.0,5,3
106,4,Land,1.0,0.0,1.6237369159935042,-7.0,-10.0,5,2
106,4,Solid,0.0,1.0,4.577835625037551,-7.0,1.0,5,2
106,4,Sea,1.0,0.0,3.046500957920216,-5.0,1.0,5,3
106,4,Small,1.0,0.0,3.699104957981035,-7.0,-10.0,5,2
106,5,Land,1.0,1.0,25.471419292036444,2.0,2.0,5,3
106,5,Small,0.0,1.0,5.125018166960217,-1.0,-1.0,5,3
106,5,Pattern,1.0,1.0,2.560310333967209,2.0,-1.0,5,2
106,5,Animal,1.0,1.0,2.290591500001028,3.0,0.0,5,2
106,5,Large,1.0,1.0,2.4461863751057535,2.0,-1.0,5,2
106,5,Object,0.0,1.0,3.755572957918048,-2.0,-2.0,5,3
106,5,Solid,0.0,1.0,4.2599175840150565,-1.0,-1.0,5,3
106,5,Sea,0.0,1.0,1.0041726670460775,-1.0,-4.0,5,2
106,6,Land,1.0,1.0,11.463948999997228,5.0,8.0,5,2
106,6,Animal,1.0,1.0,3.057079792022705,5.0,6.0,5,2
106,6,Object,0.0,0.0,7.843068792019039,1.0,1.0,5,3
106,6,Sea,0.0,0.0,10.158157333964482,1.0,-1.0,5,3
106,6,Large,1.0,1.0,1.2549979999894276,7.0,5.0,5,3
106,6,Small,0.0,1.0,4.847874375060201,-1.0,2.0,5,2
106,6,Pattern,1.0,1.0,0.4887577920453623,5.0,8.0,5,2
106,6,Solid,0.0,0.0,1.505555666051805,1.0,-1.0,5,3
106,7,Solid,1.0,1.0,8.256629499956034,3.0,-5.0,6,3
106,7,Large,0.0,1.0,0.6997970830416307,-1.0,-1.0,6,3
106,7,Animal,1.0,0.0,5.8546184580773115,-1.0,-1.0,6,3
106,7,Land,0.0,1.0,2.625955957919359,-1.0,-11.0,6,3
106,7,Object,0.0,0.0,1.035131916985847,1.0,-9.0,6,3
106,7,Pattern,0.0,1.0,1.5426541669294238,-3.0,-5.0,6,3
106,7,Sea,1.0,1.0,0.7719101670663804,1.0,1.0,6,3
106,7,Small,1.0,1.0,2.3637077909661457,1.0,-9.0,6,3
107,1,Small,1.0,1.0,25.581430041929707,3.0,2.0,5,2
107,1,Sea,1.0,0.0,7.316948457970284,-1.0,10.0,5,2
107,1,Object,1.0,0.0,16.05985366704408,-1.0,-4.0,5,2
107,1,Large,0.0,1.0,2.7563375839963555,-3.0,-2.0,5,3
107,1,Solid,1.0,0.0,6.240629833075218,-1.0,10.0,5,2
107,1,Land,0.0,0.0,2.4058207499329,1.0,-10.0,5,3
107,1,Animal,1.0,1.0,12.453181333024986,1.0,4.0,5,3
107,1,Pattern,0.0,0.0,2.957775916089304,1.0,-10.0,5,3
107,2,Large,0.0,1.0,15.500886916997842,-5.0,0.0,5,2
107,2,Solid,1.0,0.0,19.565811500069685,-9.0,5.0,5,2
107,2,Small,0.0,1.0,7.235825791023672,-3.0,6.0,5,3
107,2,Sea,0.0,1.0,6.728127708076499,-5.0,9.0,5,2
107,2,Animal,0.0,1.0,8.164197333040647,-5.0,4.0,5,3
107,2,Land,0.0,1.0,11.628369000041856,-3.0,-3.0,5,3
107,2,Pattern,1.0,1.0,5.084119000006467,1.0,1.0,5,3
107,2,Object,1.0,0.0,7.440315291984007,-3.0,2.0,5,2
107,3,Animal,1.0,1.0,17.711404417059384,4.0,-3.0,5,3
107,3,Large,1.0,1.0,3.335698000038974,3.0,-1.0,5,3
107,3,Small,0.0,0.0,6.245647665928118,2.0,1.0,5,2
107,3,Object,1.0,1.0,19.456212916993536,1.0,3.0,5,2
107,3,Land,0.0,0.0,15.22476158302743,7.0,9.0,5,3
107,3,Solid,0.0,0.0,4.2795675420202315,7.0,-4.0,5,3
107,3,Pattern,1.0,0.0,10.430920916958712,-2.0,4.0,5,2
107,3,Sea,0.0,1.0,3.9327957089990377,-2.0,-9.0,5,2
107,4,Object,1.0,1.0,5.7851755829760805,1.0,6.0,3,1
107,4,Pattern,1.0,1.0,12.00018245796673,2.0,4.0,3,1
107,4,Solid,1.0,0.0,16.073909915983677,-2.0,2.0,3,2
107,4,Animal,1.0,0.0,10.026691583101638,-1.0,0.0,3,2
107,4,Small,0.0,1.0,6.079415250103921,-1.0,4.0,3,1
107,4,Land,1.0,1.0,7.388421625015326,1.0,2.0,3,2
107,4,Large,1.0,1.0,1.2317042500944808,1.0,2.0,3,2
107,4,Sea,0.0,1.0,10.700646292068996,-1.0,4.0,3,1
107,5,Land,1.0,1.0,5.146667541004717,6.0,1.0,4,1
107,5,Small,1.0,1.0,0.5580921670189127,3.0,6.0,4,2
107,5,Solid,0.0,1.0,13.776428124983797,-3.0,4.0,4,3
107,5,Sea,1.0,0.0,4.113806707900949,-2.0,-3.0,4,3
107,5,Large,0.0,0.0,2.9584845829522237,1.0,-8.0,4,2
107,5,Animal,1.0,1.0,0.3194362920476123,3.0,-1.0,4,2
107,5,Object,1.0,1.0,0.7017719170544297,1.0,-1.0,4,2
107,5,Pattern,0.0,0.0,2.7815970829688013,7.0,-6.0,4,1
107,6,Object,1.0,0.0,18.22684204101097,-3.0,6.0,3,1
107,6,Pattern,0.0,1.0,4.359056832967326,-7.0,-9.0,3,1
107,6,Small,0.0,1.0,0.8434889588970691,-7.0,-14.0,3,2
107,6,Animal,0.0,1.0,3.160323333926499,-5.0,-14.0,3,2
107,6,Large,1.0,0.0,2.413060124963522,-1.0,6.0,3,1
107,6,Solid,1.0,0.0,10.49712583294604,-1.0,1.0,3,2
107,6,Sea,0.0,1.0,0.3592375409789383,-5.0,-9.0,3,1
107,6,Land,1.0,0.0,3.2462410000152886,-3.0,1.0,3,2
107,7,Animal,1.0,1.0,1.284449166036211,1.0,6.0,5,3
107,7,Solid,0.0,1.0,5.820232916041277,-2.0,-10.0,5,2
107,7,Object,0.0,1.0,4.8907827499788254,-1.0,-4.0,5,2
107,7,Pattern,1.0,1.0,5.415332042030059,2.0,12.0,5,3
107,7,Land,0.0,1.0,7.50757070898544,-2.0,-9.0,5,3
107,7,Sea,1.0,1.0,5.216985790990293,2.0,11.0,5,2
107,7,Large,0.0,1.0,5.620570541010238,-1.0,-8.0,5,3
107,7,Small,1.0,1.0,2.857039749971591,1.0,10.0,5,2
108,1,Solid,1.0,0.0,4.162718583014794,-2.0,-2.0,5,3
108,1,Small,1.0,1.0,31.21846983302385,1.0,-4.0,5,2
108,1,Animal,0.0,1.0,11.440919917076826,-2.0,-2.0,5,3
108,1,Sea,1.0,1.0,8.766483458108269,3.0,3.0,5,3
108,1,Large,1.0,0.0,20.06888000003528,-2.0,-2.0,5,3
108,1,Pattern,0.0,0.0,2.0861965420190245,1.0,-4.0,5,2
108,1,Object,0.0,0.0,6.953980624908581,1.0,-4.0,5,2
108,1,Land,0.0,1.0,8.064403916941956,-4.0,-9.0,5,2
108,2,Pattern,1.0,0.0,39.49294575001113,-6.0,2.0,5,2
108,2,Sea,0.0,1.0,24.572769084014,-14.0,-6.0,5,2
108,2,Land,1.0,1.0,8.126673542079516,1.0,1.0,5,3
