subject,game,image,true_value,recalled_value
109,4,Object_Land_Solid_Small,4.0,9.0
109,4,Object_Sea_Solid_Large,1.0,3.0
109,4,Animal_Sea_Pattern_Small,5.0,5.0
109,4,Animal_Land_Pattern_Large,5.0,1.0
109,4,Animal_Sea_Solid_Small,-8.0,-7.0
109,4,Object_Land_Pattern_Large,-7.0,-6.0
109,5,Animal_Land_Solid_Large,7.0,5.0
109,5,Object_Sea_Pattern_Large,-4.0,3.0
109,5,Object_Land_Solid_Large,-2.0,2.0
109,5,Animal_Land_Pattern_Small,-3.0,3.0
109,5,Object_Sea_Pattern_Small,5.0,5.0
109,5,Animal_Sea_Solid_Small,-3.0,-5.0
109,6,Object_Land_Solid_Small,6.0,3.0
109,6,Object_Sea_Solid_Small,3.0,2.0
109,6,Object_Land_Pattern_Small,-7.0,-2.0
109,6,Animal_Sea_Pattern_Large,1.0,1.0
109,6,Animal_Land_Pattern_Large,2.0,1.0
109,6,Animal_Sea_Solid_Large,-7.0,-3.0
109,7,Animal_Sea_Pattern_Large,-1.0,1.0
109,7,Object_Sea_Solid_Large,8.0,9.0
109,7,Object_Sea_Pattern_Small,-1.0,1.0
109,7,Animal_Land_Pattern_Small,5.0,-2.0
109,7,Object_Land_Solid_Large,-4.0,-2.0
109,7,Animal_Land_Solid_Small,-3.0,-1.0
110,1,Animal_Sea_Solid_Small,-3.0,-3.0
110,1,Object_Land_Pattern_Large,2.0,2.0
110,1,Object_Land_Pattern_Small,-9.0,-9.0
110,1,Animal_Land_Pattern_Large,5.0,3.0
110,1,Object_Sea_Solid_Small,8.0,9.0
110,1,Animal_Sea_Solid_Large,-3.0,-3.0
110,2,Object_Sea_Pattern_Small,-8.0,-8.0
110,2,Animal_Land_Pattern_Small,9.0,9.0
110,2,Animal_Sea_Pattern_Small,-4.0,-4.0
110,2,Animal_Land_Solid_Large,-9.0,-9.0
110,2,Object_Land_Solid_Large,1.0,1.0
110,2,Object_Sea_Solid_Large,4.0,4.0
110,3,Animal_Land_Pattern_Large,8.0,-8.0
110,3,Animal_Land_Solid_Small,-1.0,4.0
110,3,Object_Sea_Solid_Small,9.0,-9.0
110,3,Animal_Sea_Pattern_Large,8.0,-1.0
110,3,Object_Sea_Pattern_Large,-9.0,-9.0
110,3,Object_Land_Solid_Small,-3.0,-9.0
110,4,Animal_Sea_Solid_Small,-8.0,-8.0
110,4,Object_Sea_Solid_Small,-5.0,-5.0
110,4,Object_Land_Pattern_Small,9.0,8.0
110,4,Object_Land_Pattern_Large,-1.0,-1.0
110,4,Animal_Sea_Solid_Large,8.0,8.0
110,4,Animal_Land_Pattern_Large,-5.0,-5.0
110,5,Object_Sea_Solid_Large,6.0,4.0
110,5,Animal_Land_Pattern_Small,2.0,8.0
110,5,Animal_Sea_Pattern_Small,-9.0,-9.0
110,5,Animal_Land_Solid_Large,1.0,1.0
110,5,Object_Sea_Pattern_Small,5.0,-8.0
110,5,Object_Land_Solid_Large,-9.0,4.0
110,6,Object_Land_Solid_Small,6.0,6.0
110,6,Object_Sea_Pattern_Large,6.0,6.0
110,6,Animal_Sea_Pattern_Large,-1.0,1.0
110,6,Animal_Land_Solid_Small,5.0,5.0
110,6,Animal_Land_Pattern_Large,-2.0,-2.0
110,6,Object_Sea_Solid_Small,-6.0,-6.0
110,7,Animal_Land_Pattern_Small,-4.0,-5.0
110,7,Animal_Sea_Pattern_Small,4.0,5.0
110,7,Animal_Land_Solid_Large,-1.0,1.0
110,7,Object_Sea_Solid_Large,-7.0,4.0
110,7,Object_Land_Solid_Large,9.0,9.0
110,7,Object_Sea_Pattern_Small,2.0,-6.0
111,1,Object_Land_Pattern_Small,5.0,5.0
111,1,Object_Land_Solid_Small,-9.0,-9.0
111,1,Object_Sea_Solid_Large,9.0,9.0
111,1,Animal_Land_Pattern_Small,1.0,1.0
111,1,Animal_Sea_Pattern_Large,-5.0,2.0
111,1,Animal_Sea_Solid_Large,-1.0,1.0
111,2,Object_Land_Pattern_Large,9.0,9.0
111,2,Animal_Sea_Pattern_Small,-9.0,-9.0
111,2,Object_Sea_Solid_Small,1.0,1.0
111,2,Animal_Land_Pattern_Large,-8.0,-8.0
111,2,Animal_Sea_Solid_Small,5.0,5.0
111,2,Object_Land_Solid_Large,-8.0,8.0
111,3,Animal_Land_Solid_Small,-1.0,-1.0
111,3,Object_Sea_Pattern_Large,5.0,-7.0
111,3,Animal_Land_Pattern_Large,-7.0,-8.0
111,3,Object_Sea_Pattern_Small,7.0,9.0
111,3,Animal_Land_Solid_Large,9.0,9.0
111,3,Object_Sea_Solid_Small,-7.0,-7.0
111,4,Animal_Sea_Pattern_Large,-4.0,-4.0
111,4,Animal_Sea_Solid_Large,4.0,5.0
111,4,Object_Sea_Solid_Large,2.0,2.0
111,4,Animal_Land_Pattern_Small,-1.0,-1.0
111,4,Object_Land_Solid_Small,-4.0,-4.0
111,4,Object_Land_Pattern_Small,6.0,-4.0
111,5,Object_Sea_Solid_Small,-9.0,-7.0
111,5,Animal_Land_Pattern_Large,-7.0,-7.0
111,5,Animal_Sea_Solid_Small,9.0,7.0
111,5,Object_Land_Pattern_Large,1.0,1.0
111,5,Object_Land_Solid_Large,3.0,8.0
111,5,Animal_Sea_Pattern_Small,-9.0,-9.0
111,6,Object_Sea_Pattern_Small,6.0,9.0
111,6,Object_Sea_Pattern_Large,1.0,4.0
111,6,Animal_Land_Pattern_Large,-9.0,-8.0
111,6,Animal_Land_Solid_Small,7.0,1.0
111,6,Animal_Land_Solid_Large,6.0,8.0
111,6,Object_Sea_Solid_Small,-8.0,-7.0
111,7,Animal_Land_Pattern_Small,8.0,1.0
111,7,Object_Sea_Solid_Large,8.0,9.0
111,7,Animal_Sea_Pattern_Large,-6.0,-7.0
111,7,Object_Land_Pattern_Small,-3.0,-4.0
111,7,Object_Land_Solid_Small,-4.0,2.0
111,7,Animal_Sea_Solid_Large,-1.0,2.0
113,1,Animal_Land_Pattern_Small,3.0,2.0
113,1,Animal_Land_Solid_Large,-8.0,-7.0
113,1,Animal_Sea_Pattern_Small,1.0,1.0
113,1,Object_Sea_Pattern_Large,-5.0,-5.0
113,1,Object_Land_Solid_Small,-3.0,3.0
113,1,Object_Sea_Solid_Large,9.0,-4.0
113,2,Animal_Sea_Pattern_Small,9.0,7.0
113,2,Object_Land_Solid_Large,5.0,2.0
113,2,Object_Sea_Pattern_Small,-9.0,3.0
113,2,Animal_Land_Solid_Large,-1.0,-5.0
113,2,Object_Sea_Solid_Small,7.0,4.0
113,2,Animal_Land_Pattern_Large,-3.0,-4.0
113,3,Animal_Sea_Solid_Large,1.0,1.0
113,3,Animal_Land_Pattern_Large,9.0,8.0
113,3,Object_Sea_Solid_Small,1.0,2.0
113,3,Animal_Sea_Solid_Small,-9.0,-2.0
113,3,Object_Land_Pattern_Large,-9.0,-7.0
113,3,Object_Land_Pattern_Small,-8.0,1.0
113,4,Object_Land_Pattern_Small,9.0,1.0
113,4,Animal_Land_Pattern_Small,-6.0,8.0
113,4,Object_Sea_Solid_Large,-7.0,-4.0
113,4,Object_Sea_Pattern_Large,-1.0,-2.0
113,4,Animal_Land_Solid_Small,-8.0,-5.0
113,4,Animal_Sea_Solid_Large,9.0,7.0
113,5,Animal_Sea_Pattern_Small,5.0,5.0
113,5,Animal_Sea_Pattern_Large,2.0,3.0
113,5,Object_Sea_Solid_Large,-6.0,-7.0
113,5,Object_Land_Solid_Small,3.0,2.0
113,5,Animal_Land_Pattern_Small,-5.0,-8.0
113,5,Object_Land_Solid_Large,1.0,2.0
113,6,Animal_Land_Pattern_Large,-8.0,-7.0
113,6,Object_Land_Pattern_Large,4.0,4.0
113,6,Animal_Sea_Solid_Large,3.0,-7.0
113,6,Animal_Sea_Solid_Small,4.0,4.0
113,6,Object_Land_Pattern_Small,3.0,2.0
113,6,Object_Sea_Solid_Small,-6.0,-6.0
113,7,Object_Sea_Solid_Large,-1.0,-7.0
113,7,Animal_Land_Solid_Small,8.0,7.0
113,7,Animal_Land_Pattern_Small,-5.0,-6.0
113,7,Animal_Sea_Solid_Large,-5.0,-5.0
113,7,Object_Sea_Pattern_Large,8.0,6.0
113,7,Object_Land_Pattern_Small,-1.0,2.0
114,1,Object_Sea_Solid_Large,2.0,2.0
114,1,Animal_Land_Solid_Small,-1.0,1.0
114,1,Animal_Sea_Solid_Large,-2.0,-2.0
114,1,Object_Sea_Pattern_Large,1.0,1.0
114,1,Object_Land_Pattern_Small,-6.0,-6.0
114,1,Animal_Land_Pattern_Small,4.0,4.0
114,2,Animal_Sea_Solid_Small,9.0,9.0
114,2,Object_Sea_Solid_Small,9.0,9.0
114,2,Animal_Land_Solid_Large,-4.0,-4.0
114,2,Object_Sea_Pattern_Small,-9.0,-9.0
114,2,Animal_Land_Pattern_Large,-1.0,1.0
114,2,Object_Land_Pattern_Large,8.0,8.0
114,3,Object_Land_Solid_Small,1.0,1.0
114,3,Object_Sea_Solid_Large,-9.0,-9.0
114,3,Animal_Sea_Pattern_Large,9.0,9.0
114,3,Object_Sea_Pattern_Large,-1.0,1.0
114,3,Animal_Land_Solid_Small,4.0,4.0
114,3,Animal_Land_Pattern_Small,-7.0,-7.0
114,4,Object_Sea_Solid_Large,-4.0,-4.0
114,4,Object_Land_Pattern_Small,-2.0,-2.0
114,4,Animal_Land_Solid_Large,6.0,6.0
114,4,Animal_Sea_Solid_Large,-4.0,-4.0
114,4,Animal_Land_Pattern_Small,-6.0,-6.0
114,4,Object_Sea_Pattern_Small,7.0,7.0
114,5,Object_Land_Solid_Large,-9.0,-9.0
114,5,Animal_Sea_Pattern_Large,8.0,8.0
114,5,Object_Land_Pattern_Large,2.0,2.0
114,5,Animal_Sea_Pattern_Small,-9.0,-9.0
114,5,Animal_Land_Solid_Small,3.0,3.0
114,5,Object_Sea_Solid_Small,3.0,3.0
114,6,Animal_Land_Pattern_Small,-1.0,-1.0
114,6,Object_Land_Solid_Small,7.0,7.0
114,6,Object_Sea_Pattern_Large,-1.0,-1.0
114,6,Object_Sea_Solid_Large,-1.0,-1.0
114,6,Animal_Sea_Pattern_Large,9.0,9.0
114,6,Animal_Land_Solid_Small,-4.0,-4.0
114,7,Animal_Land_Solid_Large,1.0,1.0
114,7,Animal_Land_Pattern_Large,7.0,7.0
114,7,Object_Sea_Solid_Small,1.0,1.0
114,7,Object_Sea_Pattern_Small,7.0,7.0
114,7,Object_Land_Pattern_Large,-9.0,-9.0
114,7,Animal_Sea_Solid_Small,-7.0,-7.0
115,1,Animal_Land_Solid_Large,-2.0,-2.0
115,1,Animal_Sea_Solid_Large,7.0,9.0
115,1,Object_Land_Pattern_Small,-9.0,-2.0
115,1,Object_Land_Solid_Large,9.0,9.0
