subject,log_rt,recalled_total_count,game
107,1.6892341975074772,5,7
107,2.015911939277274,5,7
107,1.6519198004387496,5,7
107,1.7264331785055298,5,7
107,1.0497860363375646,5,7
108,1.426168366363819,5,1
108,3.4410099014910034,5,1
108,2.437196395050644,5,1
108,2.17093575198259,5,1
108,2.999170356569258,5,1
108,0.7353425717082805,5,1
108,1.9393142474024068,5,1
108,2.087459798981098,5,1
108,3.676122067350919,5,2
108,3.201638882014785,5,2
108,2.0951516814157713,5,2
108,3.1506586042753297,5,2
108,2.662407659658721,5,2
108,1.4416787573991896,5,2
108,0.44047201394582985,5,2
108,1.1112280275441948,5,2
108,3.0186111305269505,6,3
108,2.7782500805345345,6,3
108,1.6079620488816644,6,3
108,2.411589606276613,6,3
108,2.3584062711729312,6,3
108,2.578071344764092,6,3
108,2.5975851640322367,6,3
108,2.8658496849717894,6,3
108,2.9953461469677167,6,4
108,2.351040431206829,6,4
108,3.0782012757582446,6,4
108,2.1793644518064443,6,4
108,2.887678119414618,6,4
108,2.100092313119798,6,4
108,2.8315226435711103,6,4
108,1.8383855540979177,6,4
108,3.963899856438133,5,5
108,2.503179032101432,5,5
108,2.615547285249095,5,5
108,2.868449683120404,5,5
108,2.4004144946261476,5,5
108,3.1043356155635697,5,5
108,1.9138666545474323,5,5
108,2.3066744534592636,5,5
108,3.424172400780629,5,6
108,2.014041571877241,5,6
108,2.3327425590089295,5,6
108,1.6743264739257702,5,6
108,2.0606413527912673,5,6
108,2.3812835668741763,5,6
108,1.4351871390661708,5,6
108,1.8563111282431572,5,6
108,3.7367707124113902,3,7
108,1.8347009094041673,3,7
108,2.50457536289613,3,7
108,3.1728954533095304,3,7
108,0.8192051439146681,3,7
108,1.8285207301197783,3,7
108,1.597347222126358,3,7
108,2.459414852304088,3,7
109,1.9719940755502634,5,1
109,1.1200930140302992,5,1
109,2.6600791742224867,5,1
109,2.089252052605684,5,1
109,1.3359212463930916,5,1
109,2.5433638885236403,5,1
109,0.6682764306036978,5,1
109,2.0072671803874584,5,1
109,1.4551486438345735,3,2
109,1.3677611881981064,3,2
109,0.2856337568370778,3,2
109,1.4173111715499116,3,2
109,0.33047739846711066,3,2
109,2.3766017806248474,3,2
109,-1.1745859426776128,3,2
109,2.721718940133809,3,2
109,0.9831446488029545,3,3
109,-1.795749170999501,3,3
109,1.1956785771357301,3,3
109,0.42791042735279494,3,3
109,1.1806753003118309,3,3
109,0.8269619264411123,3,3
109,2.164233616700565,3,3
109,1.389872285965044,3,3
109,1.2613459692435154,5,4
109,0.9970993463945256,5,4
109,1.4209262564473752,5,4
109,-4.02108480688196,5,4
109,-1.0687165274882409,5,4
109,0.8219914439584987,5,4
109,0.39855805926490584,5,4
109,-0.1272267373720186,5,4
109,-0.3933602312095584,4,5
109,-1.8882466895686483,4,5
109,-0.7567195915487208,4,5
109,-0.8971741046869627,4,5
109,-0.14796597684454496,4,5
109,-0.5681767775260255,4,5
109,-1.0041970566290428,4,5
109,1.1407698709004703,4,5
109,0.1837949840896744,6,6
109,0.017323740664789523,6,6
109,-0.8930771589034874,6,6
109,-1.0317255512450565,6,6
109,-0.02368448522333639,6,6
109,-1.080954975684192,6,6
109,-0.9259999012851248,6,6
109,-0.7585391324090089,6,6
109,0.4119657934740853,6,7
109,-0.9916788981053192,6,7
109,0.2068070008537707,6,7
109,-0.3963793830461538,6,7
109,0.42938997368646753,6,7
109,-0.19843549243800182,6,7
109,1.0645323448768136,6,7
109,-0.2645513840399038,6,7
110,2.980492200088937,6,1
110,2.4281743583814612,6,1
110,2.43353895211305,6,1
110,2.485013824546381,6,1
110,3.2686094327691544,6,1
110,1.9304062671607884,6,1
110,1.5728654348579683,6,1
110,2.033575864906944,6,1
110,3.239367990535924,5,2
110,3.2944578615782256,5,2
110,3.485040950471633,5,2
110,4.109984652005356,5,2
110,2.2888570641292634,5,2
110,2.8019036941510476,5,2
110,2.331862767474301,5,2
110,1.8228682831628948,5,2
110,2.4068178441760035,5,3
110,1.2119858515209239,5,3
110,3.7863417199275307,5,3
110,0.6477523768687236,5,3
110,2.3240886992742493,5,3
110,2.354430126018722,5,3
110,3.170902144270928,5,3
110,1.184770476471516,5,3
110,3.5108288911271965,6,4
110,2.1381844382866073,6,4
110,2.103581476205616,6,4
110,2.0772615944531525,6,4
110,1.3587518153626392,6,4
110,2.837783858791927,6,4
110,1.7551371722633964,6,4
110,2.879964951893497,6,4
110,3.177357532446216,4,5
