subject,choice_bin,recalled_offer_value,game,rt,recalled_total_count,recalled_offer_count
105,0,4.0,2,4.394204374984838,3,1
105,1,16.0,2,0.5587012500036508,3,2
105,0,12.0,2,3.147713084006682,3,2
105,1,20.0,2,0.832736958982423,3,3
105,1,8.0,2,0.8065602920250967,3,1
105,1,4.0,3,1.683105874923058,2,1
105,1,2.0,3,1.5088404170237482,2,2
105,1,2.0,3,1.5943599159363655,2,2
105,1,-2.0,3,1.4525454170070589,2,1
105,1,2.0,3,1.1042189999716356,2,2
105,1,9.0,4,3.0387176249641925,2,1
105,1,9.0,4,1.695655290968716,2,1
105,0,18.0,4,0.3650377499870956,2,2
105,1,18.0,4,0.5698484999593347,2,2
105,1,9.0,4,2.3158307910198346,2,1
105,0,9.0,4,3.869751499965787,2,1
105,0,-8.0,5,2.632470833021216,2,1
105,0,3.0,5,5.405779791995883,2,1
105,0,-5.0,5,6.345956749981269,2,2
105,0,-8.0,5,2.7430502920178697,2,1
105,1,-8.0,5,2.261646958999336,2,1
105,1,3.0,5,0.974659041967243,2,1
105,1,3.0,5,1.831697165966034,2,1
105,1,-6.0,6,2.264907708973624,2,2
105,1,2.0,6,4.788127833977342,2,1
105,1,-6.0,6,2.143643084098585,2,2
105,0,-8.0,6,0.7578217500122264,2,1
105,1,2.0,6,1.2086673750309274,2,1
105,0,-8.0,6,1.1570180000271648,2,1
105,1,-1.0,7,2.415791915962473,2,2
105,1,-3.0,7,0.8172765000490472,2,1
105,1,2.0,7,1.5505095419939607,2,1
105,1,-1.0,7,1.8408980829408392,2,2
105,0,-1.0,7,1.913525625015609,2,2
106,1,5.0,1,2.8335240409942344,5,3
106,1,8.0,1,0.6281142910011113,5,3
106,1,-1.0,1,7.456064291996881,5,2
106,1,7.0,1,0.2255763750290498,5,2
106,0,-3.0,1,0.4287027909886092,5,3
106,0,-3.0,1,0.2897909169550985,5,3
106,0,-4.0,1,0.1340597920352593,5,2
106,1,7.0,1,2.01708808389958,5,2
106,1,6.0,2,3.706560832913965,6,3
106,1,13.0,2,2.0237249169731513,6,3
106,0,-1.0,2,0.5183191660325974,6,3
106,1,12.0,2,0.4517687499755993,6,3
106,1,5.0,2,2.135697999969125,6,3
106,0,3.0,2,2.771725958096795,6,3
106,1,8.0,2,2.234942250070162,6,3
106,1,-2.0,2,2.05441516591236,6,3
106,0,-5.0,3,14.918108790996484,5,3
106,1,0.0,3,4.4598969999933615,5,2
106,1,4.0,3,1.605088124983013,5,2
106,0,-8.0,3,5.856614290969446,5,3
106,0,-9.0,3,7.002851124969311,5,3
106,1,-5.0,3,5.042139875004068,5,3
106,1,3.0,3,0.2882426249561831,5,2
106,1,0.0,3,11.514413958997466,5,2
106,0,-3.0,4,8.043628499959596,5,3
106,0,-6.0,4,8.080775292008184,5,2
106,1,-10.0,4,0.854230625089258,5,3
106,0,1.0,4,2.543876833980903,5,3
106,1,-10.0,4,1.6237369159935042,5,2
106,0,1.0,4,4.577835625037551,5,2
106,1,1.0,4,3.046500957920216,5,3
106,1,-10.0,4,3.699104957981035,5,2
106,1,2.0,5,25.471419292036444,5,3
106,0,-1.0,5,5.125018166960217,5,3
106,1,-1.0,5,2.560310333967209,5,2
106,1,0.0,5,2.290591500001028,5,2
106,1,-1.0,5,2.4461863751057535,5,2
106,0,-2.0,5,3.755572957918048,5,3
106,0,-1.0,5,4.2599175840150565,5,3
