subject_id,game,trial_number,v_offer,time_ms_sim_mean,accept_sim_mean
106,4.0,30,-5.0,5243.075,0.026
106,4.0,31,-5.0,4974.197,0.031
106,4.0,32,-17.0,1264.48,0.0
106,5.0,33,2.0,4448.721,0.722
106,5.0,34,-1.0,2901.806,0.524
106,5.0,35,2.0,4439.477,0.738
106,5.0,36,3.0,3643.631,0.758
106,5.0,37,2.0,4313.598,0.703
106,5.0,38,-2.0,3106.308,0.441
106,5.0,39,-1.0,2848.201,0.515
106,5.0,40,-1.0,2732.901,0.482
106,6.0,41,5.0,3798.979,0.751
106,6.0,42,3.0,3054.677,0.581
106,6.0,43,1.0,2842.374,0.546
106,6.0,44,-1.0,2012.792,0.408
106,6.0,45,5.0,3757.804,0.752
106,6.0,46,-1.0,2022.545,0.395
106,6.0,47,5.0,3749.768,0.759
106,7.0,49,-5.0,3484.572,0.108
106,7.0,51,-1.0,6572.609,0.293
106,7.0,52,-11.0,2126.905,0.054
106,7.0,54,-5.0,2753.256,0.26
106,7.0,55,1.0,5977.13,0.571
106,7.0,56,-9.0,2233.658,0.0
108,1.0,1,-2.0,7356.913,0.101
108,1.0,2,1.0,2967.863,0.632
108,1.0,3,-2.0,3903.139,0.426
108,1.0,4,3.0,5997.689,0.893
108,1.0,5,-2.0,7544.552,0.125
108,1.0,6,1.0,3018.692,0.603
108,1.0,7,1.0,5966.394,0.565
108,1.0,8,-4.0,3044.666,0.301
108,2.0,9,-5.0,1577.186,0.305
108,2.0,10,-13.0,1942.6,0.0
108,2.0,11,1.0,2366.203,0.528
108,2.0,12,-7.0,4104.048,0.014
108,2.0,13,-5.0,1642.356,0.295
108,2.0,14,-5.0,5246.168,0.032
108,2.0,15,-7.0,1516.165,0.298
108,2.0,16,-7.0,4310.723,0.009
108,3.0,17,-4.0,1865.614,0.332
108,3.0,18,2.0,2850.253,0.545
108,3.0,19,-4.0,1747.664,0.332
108,3.0,20,7.0,4543.293,0.977
108,3.0,21,7.0,4477.137,0.984
108,3.0,22,1.0,3105.045,0.51
108,3.0,23,2.0,2814.845,0.554
108,3.0,24,1.0,3029.004,0.532
108,4.0,25,2.0,2190.517,0.648
108,4.0,26,-4.0,5758.825,0.065
108,4.0,27,-1.0,4197.238,0.473
108,4.0,28,-3.0,3538.996,0.374
108,4.0,29,2.0,2187.89,0.63
108,4.0,30,1.0,3413.455,0.586
