subject_id,game,trial_number,v_offer,time_ms_sim_mean,accept_sim_mean
103,6.0,43,1.0,5467.834,0.703
103,6.0,44,1.0,5374.763,0.706
103,6.0,45,-2.0,4527.121,0.132
103,6.0,47,2.0,4379.227,0.846
103,6.0,48,-2.0,4429.085,0.161
103,7.0,49,-1.0,5506.666,0.285
103,7.0,50,-7.0,1923.704,0.026
103,7.0,51,4.0,3100.922,0.933
103,7.0,52,-1.0,5402.292,0.261
103,7.0,53,4.0,2947.034,0.945
103,7.0,54,-7.0,1904.682,0.028
103,7.0,55,-2.0,4802.685,0.135
103,7.0,56,-2.0,4527.63,0.157
104,1.0,5,6.0,2240.877,0.961
104,2.0,9,-5.0,2452.304,0.04
104,2.0,10,9.0,1639.481,0.972
104,2.0,12,-8.0,1713.56,0.023
104,2.0,13,-7.0,2033.527,0.029
104,2.0,14,4.0,2989.956,0.922
104,2.0,15,6.0,2221.815,0.97
104,2.0,16,7.0,2065.525,0.972
104,3.0,17,1.0,5759.94,0.712
104,3.0,20,-6.0,2172.726,0.031
104,3.0,21,-6.0,2211.724,0.033
104,3.0,22,2.0,4521.989,0.844
104,4.0,25,5.0,2558.088,0.951
104,4.0,28,1.0,5632.448,0.683
104,5.0,33,-7.0,1928.258,0.019
104,5.0,34,-1.0,5375.66,0.286
104,5.0,35,-8.0,1722.651,0.024
104,5.0,37,-3.0,3586.317,0.087
104,5.0,38,-5.0,2470.455,0.036
104,5.0,39,-4.0,2981.734,0.05
104,6.0,41,9.0,1626.59,0.974
104,6.0,42,9.0,1588.635,0.987
104,6.0,43,3.0,3637.182,0.912
104,6.0,44,1.0,5598.051,0.681
104,6.0,48,9.0,1586.678,0.971
104,7.0,49,10.0,1475.893,0.977
104,7.0,50,3.0,3699.374,0.911
104,7.0,51,16.0,1020.481,0.989
104,7.0,52,9.0,1559.307,0.983
104,7.0,53,9.0,1539.749,0.982
104,7.0,54,9.0,1678.983,0.973
104,7.0,55,10.0,1458.778,0.985
104,7.0,56,10.0,1561.638,0.985
105,1.0,1,8.0,1799.577,0.978
105,1.0,2,3.0,3603.064,0.909
105,1.0,3,12.0,1284.741,0.986
105,1.0,4,-3.0,3614.908,0.09
105,1.0,5,1.0,5390.411,0.675
105,1.0,6,8.0,1801.311,0.977
105,1.0,7,6.0,2242.793,0.967
105,1.0,8,1.0,5401.295,0.686
105,2.0,9,20.0,932.341,0.981
105,2.0,10,6.0,2240.358,0.953
105,2.0,12,15.0,1081.548,0.987
105,2.0,13,6.0,2257.808,0.968
105,2.0,14,6.0,2236.32,0.967
105,2.0,16,11.0,1373.431,0.985
105,3.0,17,4.0,2963.371,0.924
105,3.0,18,3.0,3650.069,0.906
105,3.0,19,0.0,6191.759,0.503
105,3.0,20,-4.0,2967.629,0.059
105,3.0,21,-4.0,2950.362,0.069
105,3.0,22,7.0,1967.518,0.969
105,3.0,23,-1.0,5315.047,0.287
105,3.0,24,7.0,1897.113,0.971
105,4.0,25,17.0,975.953,0.991
105,4.0,26,3.0,3723.89,0.914
105,4.0,27,4.0,3054.313,0.929
105,4.0,28,16.0,1044.477,0.988
105,4.0,30,17.0,958.313,0.983
105,4.0,31,3.0,3633.683,0.904
105,4.0,32,4.0,3079.519,0.946
105,5.0,33,-8.0,1747.152,0.02
105,5.0,34,-4.0,3109.288,0.049
105,5.0,35,12.0,1263.983,0.992
105,5.0,36,-1.0,5256.384,0.28
105,5.0,37,-17.0,1013.915,0.012
105,5.0,38,-17.0,1038.646,0.011
105,5.0,39,3.0,3545.3,0.883
105,5.0,40,12.0,1262.413,0.988
105,6.0,41,-3.0,3489.341,0.092
105,6.0,42,-5.0,2479.672,0.046
105,6.0,43,-8.0,1753.983,0.02
105,6.0,44,-9.0,1585.83,0.015
105,6.0,45,-6.0,2166.464,0.038
105,6.0,46,-11.0,1335.916,0.017
105,6.0,48,-9.0,1593.288,0.02
105,7.0,49,2.0,4446.954,0.831
105,7.0,50,-5.0,2468.468,0.041
105,7.0,51,6.0,2239.898,0.967
105,7.0,52,-1.0,5655.324,0.31
105,7.0,53,1.0,5614.594,0.705
105,7.0,54,0.0,6326.818,0.52
106,1.0,1,5.0,2573.504,0.96
