subject_id,game,trial_number,option,rt_s,total_fix_time_ms,n_fixations,total_fix_time_s,true_offer_value,recalled_offer_value,accept
105,1,4,Land,4.153576708049513,146.0,1,0.146,-11.0,-3.0,0.0
105,1,5,Solid,5.310788374976255,2354.0,2,2.354,-4.0,1.0,1.0
105,1,6,Pattern,2.819347291951999,827.0,4,0.827,-6.0,8.0,1.0
105,1,7,Animal,2.3712131249485537,549.0,2,0.549,-15.0,6.0,0.0
105,1,8,Small,3.0312586670042947,162.0,1,0.162,1.0,1.0,1.0
105,2,9,Large,4.049898999975994,1252.0,4,1.252,4.0,20.0,1.0
105,2,10,Solid,4.394204374984838,491.0,3,0.491,2.0,6.0,0.0
105,2,12,Animal,3.147713084006682,1460.0,5,1.46,8.0,15.0,0.0
105,2,13,Small,1.215079625020735,673.0,2,0.673,2.0,6.0,0.0
105,2,14,Sea,0.7869795829756185,445.0,2,0.445,2.0,6.0,1.0
105,2,16,Object,0.8065602920250967,194.0,1,0.194,-2.0,11.0,1.0
105,3,17,Animal,1.683105874923058,466.0,3,0.466,1.0,4.0,1.0
105,3,18,Pattern,2.18022595893126,754.0,2,0.754,-1.0,3.0,0.0
105,3,19,Solid,1.5088404170237482,1300.0,2,1.3,1.0,0.0,1.0
105,3,20,Small,2.512704540975392,1257.0,4,1.257,-1.0,-4.0,0.0
105,3,21,Land,0.7977782919770107,220.0,1,0.22,-1.0,-4.0,1.0
105,3,22,Sea,1.5943599159363655,1097.0,2,1.097,1.0,7.0,1.0
105,3,23,Object,1.4525454170070589,456.0,3,0.456,-1.0,-1.0,1.0
105,3,24,Large,1.1042189999716356,1017.0,3,1.017,1.0,7.0,1.0
105,4,25,Sea,3.0387176249641925,1947.0,5,1.947,4.0,17.0,1.0
105,4,26,Solid,2.7253818339668214,968.0,3,0.968,8.0,3.0,1.0
105,4,27,Small,2.7894099169643596,1088.0,3,1.088,13.0,4.0,0.0
105,4,28,Object,1.695655290968716,892.0,2,0.892,9.0,16.0,1.0
105,4,30,Pattern,0.5698484999593347,175.0,1,0.175,4.0,17.0,1.0
105,4,31,Land,2.3158307910198346,334.0,2,0.334,8.0,3.0,1.0
105,4,32,Animal,3.869751499965787,629.0,3,0.629,3.0,4.0,0.0
105,5,33,Pattern,2.632470833021216,633.0,4,0.633,2.0,-8.0,0.0
