phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
n-back,,,,47,2,,,,1,0.5142661668360233,Z,True,1,,,,,
n-back,,,,48,2,,,,1,None,V,False,None,,,,,
n-back,,,,49,2,,,,1,None,C,False,None,,,,,
n-back,,,,50,2,,,,1,None,Z,False,None,,,,,
n-back,,,,51,2,,,,1,None,B,False,None,,,,,
n-back,,,,52,2,,,,0,0.33760479209013283,C,False,1,,,,,
n-back,,,,53,2,,,,1,None,V,False,None,,,,,
n-back,,,,54,2,,,,0,None,C,True,None,,,,,
n-back,,,,55,2,,,,1,0.5580817919690162,V,True,1,,,,,
n-back,,,,56,2,,,,0,None,C,True,None,,,,,
n-back,,,,57,2,,,,1,None,N,False,None,,,,,
n-back,,,,58,2,,,,1,None,Z,False,None,,,,,
n-back,,,,59,2,,,,1,None,V,False,None,,,,,
n-back,,,,60,2,,,,1,None,V,False,None,,,,,
choice,fixation,149.93132070777938,151.1850997498259,9,2,,,,,,,,,Pattern,,,,
choice,option,151.1943490828853,152.22329629189335,9,2,,,,,,,,,Pattern,,,,
choice,choice,152.2234369998332,158.71719316695817,9,2,,,2,0,5.481511708116159,,,,Pattern,,,,
choice,fixation,158.71733695780858,159.9723379998468,10,2,,,,,,,,,Land,,,,
choice,option,159.98098520794883,161.00820749998093,10,2,,,,,,,,,Land,,,,
choice,choice,161.00831029191613,167.3399526248686,10,2,,,2,0,5.321933750063181,,,,Land,,,,
choice,fixation,167.34009283292107,168.59872104180977,11,2,,,,,,,,,Small,,,,
choice,option,168.60752716683783,169.63456716691144,11,2,,,,,,,,,Small,,,,
choice,choice,169.63469074992463,180.63101008278318,11,2,,,2,1,9.985274583101273,,,,Small,,,,
choice,fixation,180.6311172079295,181.88616849994287,12,2,,,,,,,,,Large,,,,
choice,option,181.89475820795633,182.92152474983595,12,2,,,,,,,,,Large,,,,
choice,choice,182.9216242497787,188.18835699977353,12,2,,,1,1,4.257110208971426,,,,Large,,,,
choice,fixation,188.1884973749984,188.69343212479725,13,2,,,,,,,,,Animal,,,,
choice,option,188.70267516677268,189.73131429194473,13,2,,,,,,,,,Animal,,,,
choice,choice,189.7314359578304,192.58712699986063,13,2,,,1,1,1.845184792065993,,,,Animal,,,,
choice,fixation,192.58725508279167,193.84219187498093,14,2,,,,,,,,,Solid,,,,
choice,option,193.85195762477815,194.88051262497902,14,2,,,,,,,,,Solid,,,,
choice,choice,194.88063966692425,203.6135898749344,14,2,,,2,0,7.722794457804412,,,,Solid,,,,
choice,fixation,203.6137219578959,204.3687791249249,15,2,,,,,,,,,Object,,,,
choice,option,204.37802295782603,205.40511858300306,15,2,,,,,,,,,Object,,,,
choice,choice,205.40524766687304,216.3099026249256,15,2,,,2,0,9.894512166036293,,,,Object,,,,
choice,fixation,216.31005974998698,217.31521445792168,16,2,,,,,,,,,Sea,,,,
choice,option,217.32335049984977,218.3496169168502,16,2,,,,,,,,,Sea,,,,
choice,choice,218.34972479194403,227.4443234167993,16,2,,,1,1,8.0845186249353,,,,Sea,,,,
memory,free_recall,251.80008533294313,293.51910608285107,6,2,,,,,,,,,,,,,
memory,value_recall,318.6579835829325,323.8398817079142,7,2,Object_Sea_Pattern_Large,,,,5.17776491609402,,,,,8,,,
memory,value_recall,324.8895726248156,327.5198209169321,8,2,Animal_Land_Solid_Small,,,,2.626482249936089,,,,,4,,,
memory,value_recall,329.56720566679724,332.02314154198393,9,2,Animal_Land_Solid_Large,,,,2.4518430829048157,,,,,8,,,
memory,value_recall,333.07192066684365,338.1923698328901,10,2,Object_Sea_Pattern_Small,,,,5.11703541688621,,,,,3,,,
memory,value_recall,339.9904707497917,343.1679010828957,11,2,Animal_Sea_Pattern_Large,,,,3.1715837500523776,,,,,-3,,,
memory,value_recall,345.21451308298856,347.1504982498009,12,2,Object_Land_Solid_Small,,,,1.9319605419877917,,,,,-8,,,
memory,spatial_recall,356.46367970784195,360.04947233293205,12,2,Object_Sea_Pattern_Large,,,1,3.58175891591236,,,,,,"[0, 380]","[0, 380]",
memory,spatial_recall,361.35895945783705,365.72452874993905,12,2,Animal_Land_Solid_Small,,,1,4.361206458881497,,,,,,"[329, -190]","[329, -190]",
memory,spatial_recall,367.03060687496327,370.55800137482584,12,2,Animal_Land_Solid_Large,,,1,3.5233968750108033,,,,,,"[-329, -190]","[-329, -190]",
memory,spatial_recall,372.3656920418143,374.4315542499535,12,2,Object_Sea_Pattern_Small,,,1,2.0619506251532584,,,,,,"[0, -380]","[0, -380]",
memory,spatial_recall,375.4868896668777,377.97444533277303,12,2,Animal_Sea_Pattern_Large,,,1,2.483258082997054,,,,,,"[329, 189]","[329, 189]",
memory,spatial_recall,379.03104774979874,380.431814749958,12,2,Object_Land_Solid_Small,,,1,1.3982090831268579,,,,,,"[-329, 190]","[-329, 190]",
encoding,fixation,13.604455249849707,15.111299542011693,13,3,Object_Land_Pattern_Large,-4,,,,,,,,,,,
encoding,image,15.111414916813374,16.123714291956276,13,3,Object_Land_Pattern_Large,-4,,,,,,,,,,,
encoding,value,16.123832291923463,22.138731666840613,13,3,Object_Land_Pattern_Large,-4,,,,,,,,,,,
encoding,attention,22.13888383284211,25.157805499853566,13,3,Object_Land_Pattern_Large,-4,-4,1,1.012466415995732,,,,,,,,
encoding,fixation,25.15795954200439,25.663541791960597,14,3,Animal_Sea_Solid_Small,-5,,,,,,,,,,,
encoding,image,25.66371133294888,26.675074291881174,14,3,Animal_Sea_Solid_Small,-5,,,,,,,,,,,
encoding,value,26.675182458013296,32.6874985829927,14,3,Animal_Sea_Solid_Small,-5,,,,,,,,,,,
encoding,attention,32.68761166697368,35.70543641690165,14,3,Animal_Sea_Solid_Small,-5,-5,1,1.7762401250656694,,,,,,,,
encoding,fixation,35.705594749888405,36.71107624983415,15,3,Object_Land_Pattern_Small,-8,,,,,,,,,,,
encoding,image,36.71123670786619,37.72263720794581,15,3,Object_Land_Pattern_Small,-8,,,,,,,,,,,
encoding,value,37.72273949999362,43.73557179188356,15,3,Object_Land_Pattern_Small,-8,,,,,,,,,,,
encoding,attention,43.73577862489037,46.755200791871175,15,3,Object_Land_Pattern_Small,-8,-8,1,2.711797875119373,,,,,,,,
