combo,rep,seed_fit,seed_sim,noise_param,d_true,theta_true,sigma_true,mu_true,d_hat,theta_hat,sigma_hat,mu_hat,d_true_per_s,sigma_true_per_s,d_hat_per_s,sigma_hat_per_s,fit_fval,elapsed_s,hit_d_min,hit_d_max,hit_theta_min,hit_theta_max,hit_sigma_min,hit_sigma_max
14,1,140224,141223,mu,2.676245356393672e-05,0.6815912092998238,0.000474204730637,17.71903048814969,2.2703226958908176e-05,0.8788583565648759,0.0010946489038321,48.215564501621145,0.0267624535639367,0.0149956702603981,0.0227032269589081,0.0346158377431631,4668.526025957145,2708.616802215576,0,0,0,0,0,0
40,1,400224,401223,mu,0.0001132619848361,0.3549429129391288,0.0004358547434816,3.84819976545768,0.0001122394556846,0.3697417154360753,0.0001352671123927,1.2051654346289515,0.1132619848361162,0.0137829371839032,0.1122394556846687,0.0042775216767501,4431.256304370518,272.7835547924042,0,0,0,0,0,0
42,1,420224,421223,mu,0.0001467157777873,0.269715145199384,0.0050024862395051,34.09644357921063,0.0001632701963498,0.2211953969339389,0.0003369607036053,2.06382249264524,0.1467157777873128,0.1581925048048675,0.1632701963498015,0.0106556330536573,4163.157047486238,232.1226978302002,0,0,0,0,0,0
44,1,440224,441223,mu,0.000338787432995,0.7119144170216746,0.0046758863496335,13.80182938988112,0.0003490338162918,0.6978093164269471,0.0003496916459395,1.0018847160847004,0.3387874329950577,0.147864509449325,0.3490338162918672,0.011058220799021,4690.238141202902,209.70226001739505,0,0,0,0,1,0
25,1,250224,251223,mu,2.337092893609157e-05,0.9508575747052228,0.0001417598759036,6.065650034333219,2.272087775470835e-05,0.9899441722455238,0.000179548545995,7.902359580180537,0.0233709289360915,0.004482840886782,0.0227208777547083,0.0056778235591579,4723.963310408012,2127.486093044281,0,0,0,1,0,0
43,1,430224,431223,mu,2.990975111939523e-05,0.7835801630087058,0.0022665810143536,75.7806711699393,2.5699446769605475e-05,0.9899986770745782,0.0025699439320188,99.99997101331928,0.0299097511193952,0.0716755850665221,0.0256994467696054,0.0812687628410861,4709.175196019325,830.05876994133,0,0,0,1,0,1
22,1,220224,221223,mu,2.146881069181415e-05,0.3176122705204523,6.89707196497792e-05,3.212600858047394,2.2067302154871585e-05,0.2884362159904894,8.446538632633003e-05,3.827626310345482,0.0214688106918141,0.0021810456595423,0.0220673021548715,0.0026710300423724,4113.24503461872,2891.0608019828796,0,0,0,0,0,0
33,1,330224,331223,mu,2.7307739199321817e-05,0.4271544736963877,0.0020624471616431,75.52610439806486,3.352235901983601e-05,0.2975875309501312,5.466604783760054e-05,1.63073391718206,0.0273077391993218,0.0652203058454168,0.033522359019836,0.0017286922184654,4465.494057548688,1767.8184769153595,0,0,0,0,0,0
45,1,450224,451223,mu,2.2246580852500647e-05,0.6876088186379864,0.0005939765526761,26.69967832874424,2.449449503904632e-05,0.5908661015410346,0.0002984956762833,12.186235144161182,0.0222465808525006,0.0187831878319167,0.0244944950390463,0.0094392620876755,4507.289463899742,1061.354949235916,0,0,0,0,0,0
39,1,390224,391223,mu,3.97077968468949e-05,0.6361171257715289,0.0002410086407851,6.069554594390512,3.965340220608968e-05,0.6415969817312871,0.000402948945487,10.161774855858749,0.0397077968468949,0.0076213624066257,0.0396534022060896,0.0127423644850224,4658.021419980154,1568.3019769191742,0,0,0,0,0,0
