subject_id,fixation_position,prop_relevant,group
H132,2,0.5434782608695652,human
H132,3,0.5,human
H132,4,0.575,human
H132,5,0.6470588235294118,human
H132,6,0.45454545454545453,human
H132,7,0.6,human
H132,8,0.3684210526315789,human
H132,9,0.6875,human
H132,10,0.42857142857142855,human
H132,11,0.6923076923076923,human
H132,12,0.3333333333333333,human
H132,13,0.4,human
H132,14,0.5,human
H132,15,0.5555555555555556,human
H132,16,0.625,human
H132,17,0.625,human
H132,18,0.7142857142857143,human
H132,19,0.7142857142857143,human
H132,20,0.42857142857142855,human
H132,21,0.6666666666666666,human
H132,22,0.3333333333333333,human
H132,23,0.6,human
H132,24,0.75,human
H132,25,1.0,human
H132,26,0.3333333333333333,human
H132,27,1.0,human
H132,28,0.3333333333333333,human
H132,29,0.3333333333333333,human
H132,30,1.0,human
H132,31,0.0,human
H132,32,1.0,human
H132,33,0.5,human
H132,34,0.5,human
H132,35,0.5,human
H132,36,1.0,human
H132,37,0.0,human
H132,38,0.0,human
H132,39,0.0,human
H132,40,1.0,human
H132,41,0.0,human
H133,1,0.5660377358490566,human
H133,2,0.673469387755102,human
H133,3,0.5238095238095238,human
H133,4,0.7837837837837838,human
H133,5,0.6666666666666666,human
H133,6,0.6071428571428571,human
H133,7,0.7272727272727273,human
H133,8,0.6842105263157895,human
H133,9,0.5,human
H133,10,0.4666666666666667,human
H133,11,0.6923076923076923,human
H133,12,0.5555555555555556,human
H133,13,0.75,human
H133,14,0.2857142857142857,human
H133,15,0.4,human
H133,16,0.75,human
H133,17,0.0,human
H133,18,0.25,human
H133,19,0.25,human
H133,20,0.25,human
H133,21,0.75,human
H133,22,0.25,human
H133,23,0.3333333333333333,human
H133,24,0.3333333333333333,human
H133,25,0.0,human
H133,26,0.5,human
H133,27,0.0,human
H133,28,1.0,human
H133,29,1.0,human
H133,30,1.0,human
H133,31,0.0,human
H133,32,0.5,human
H133,33,0.5,human
H133,34,1.0,human
H133,35,1.0,human
H133,36,1.0,human
H133,37,0.0,human
H133,38,1.0,human
H134,1,0.4909090909090909,human
H134,2,0.5283018867924528,human
H134,3,0.4090909090909091,human
H134,4,0.55,human
H134,5,0.3783783783783784,human
H134,6,0.6333333333333333,human
H134,7,0.5833333333333334,human
H134,8,0.5,human
H134,9,0.35294117647058826,human
H134,10,0.5333333333333333,human
H134,11,0.4166666666666667,human
H134,12,0.6666666666666666,human
H134,13,0.5,human
H134,14,0.5,human
H134,15,0.2857142857142857,human
