subject,game,trial_number,decision_label,category,prop,chance,valence_label,delta_from_chance
108,7,53,take,rel_neg,0.12128869235628553,0.16666666666666666,negative,-0.045377974310381125
108,7,54,leave,rel_neg,0.5648836057454185,0.16666666666666666,negative,0.3982169390787519
108,7,55,take,rel_neg,0.47292418772563183,0.3333333333333333,negative,0.1395908543922985
108,7,56,leave,rel_neg,0.044398610508033,0.3333333333333333,negative,-0.2889347228253003
109,1,1,leave,rel_neg,0.42660550458715596,0.3333333333333333,negative,0.09327217125382264
109,1,2,take,rel_neg,1.0,0.16666666666666666,negative,0.8333333333333334
109,1,3,take,rel_neg,0.4571226080793763,0.3333333333333333,negative,0.12378927474604301
109,1,4,take,rel_neg,0.04448961156278229,0.16666666666666666,negative,-0.12217705510388437
109,1,5,leave,rel_neg,0.0,0.16666666666666666,negative,-0.16666666666666666
109,1,6,leave,rel_neg,0.04991680532445923,0.3333333333333333,negative,-0.28341652800887407
109,1,7,leave,rel_neg,0.0,0.3333333333333333,negative,-0.3333333333333333
109,1,8,take,rel_neg,0.1353974121996303,0.16666666666666666,negative,-0.03126925446703635
109,2,9,leave,rel_neg,0.3152284263959391,0.5,negative,-0.18477157360406088
109,2,10,leave,rel_neg,1.0,0.3333333333333333,negative,0.6666666666666667
109,2,12,take,rel_neg,0.0,0.3333333333333333,negative,-0.3333333333333333
109,2,13,leave,rel_neg,0.0,0.16666666666666666,negative,-0.16666666666666666
109,2,14,leave,rel_neg,0.0,0.5,negative,-0.5
109,2,16,take,rel_neg,0.8702434007541995,0.16666666666666666,negative,0.7035767340875329
109,3,17,leave,rel_neg,0.0,0.16666666666666666,negative,-0.16666666666666666
109,3,19,leave,rel_neg,0.0,0.5,negative,-0.5
109,3,20,take,rel_neg,0.0,0.16666666666666666,negative,-0.16666666666666666
109,3,21,take,rel_neg,0.506951871657754,0.16666666666666666,negative,0.3402852049910874
109,3,22,leave,rel_neg,0.0,0.5,negative,-0.5
109,3,23,leave,rel_neg,0.0,0.3333333333333333,negative,-0.3333333333333333
