n_trials,n_fixations,allfix_count_relevant_per_trial,allfix_duration_mean_relevant,allfix_count_relevant,allfix_count_irrelevant_per_trial,allfix_duration_mean_irrelevant,allfix_count_irrelevant,firstfix_count_relevant_per_trial,firstfix_duration_mean_relevant,firstfix_count_relevant,firstfix_count_irrelevant_per_trial,firstfix_duration_mean_irrelevant,firstfix_count_irrelevant,revisit_count_relevant_per_trial,revisit_duration_mean_relevant,revisit_count_relevant,revisit_count_irrelevant_per_trial,revisit_duration_mean_irrelevant,revisit_count_irrelevant,firstfix_prop_time_relevant,firstfix_prop_time_irrelevant,revisit_prop_time_relevant,revisit_prop_time_irrelevant,time_share_firstfix,time_share_revisit,subject
56,721,8.160714285714286,734.6805251641138,457,4.714285714285714,550.689393939394,264,2.482142857142857,686.3525179856115,139,2.017857142857143,530.3539823008849,113,5.678571428571429,755.8050314465409,318,2.6964285714285716,565.9072847682119,151,0.6141837214242949,0.3858162785757051,0.7377147803240044,0.26228521967599555,0.32284970205619673,0.6771502979438032,125
54,642,6.7592592592592595,465.90410958904107,365,5.12962962962963,371.99638989169677,277,2.5,456.43703703703704,135,2.4444444444444446,329.99242424242425,132,4.2592592592592595,471.46086956521737,230,2.685185185185185,410.2344827586207,145,0.5858544562551103,0.4141455437448896,0.645759885659838,0.354240114340162,0.38512914777845314,0.6148708522215468,126
40,84,1.175,788.0,47,0.925,681.1891891891892,37,0.925,898.5405405405405,37,0.725,666.8275862068965,29,0.25,379.0,10,0.2,733.25,8,0.6322455499771794,0.36775445002282064,0.39250207125103564,0.6074979287489644,0.8448586118251928,0.1551413881748072,127
46,173,2.239130434782609,890.8834951456311,103,1.5217391304347827,1063.4285714285713,70,1.5217391304347827,963.0142857142857,70,1.108695652173913,917.4313725490196,51,0.717391304347826,737.8787878787879,33,0.41304347826086957,1455.3157894736842,19,0.5902889667250438,0.4097110332749562,0.4682602257648891,0.5317397742351109,0.6871198127568426,0.31288018724315736,128
40,75,0.95,405.8157894736842,38,0.925,311.6216216216216,37,0.85,388.6470588235294,34,0.925,311.6216216216216,37,0.1,551.75,4,0.0,,0,0.5340284513417394,0.46597154865826057,1.0,0.0,0.9181106452450744,0.0818893547549256,129
52,454,4.769230769230769,1042.3104838709678,248,3.9615384615384617,793.4805825242719,206,2.1346153846153846,1226.027027027027,111,1.8076923076923077,789.8510638297872,94,2.6346153846153846,893.4598540145986,137,2.1538461538461537,796.5267857142857,112,0.6470107209927021,0.3529892790072979,0.5784278052122959,0.4215721947877041,0.49848323261049887,0.5015167673895011,132
53,411,4.622641509433962,571.4734693877551,245,3.1320754716981134,510.8734939759036,166,2.188679245283019,597.8793103448276,116,1.509433962264151,451.725,80,2.4339622641509435,547.7286821705426,129,1.6226415094339623,565.8953488372093,86,0.6574337390513024,0.3425662609486975,0.5921440783078006,0.40785592169219936,0.46923706497758166,0.5307629350224183,133
55,402,3.6363636363636362,432.55,200,3.672727272727273,429.1782178217822,202,1.5636363636363637,345.7674418604651,86,1.5272727272727273,384.0952380952381,84,2.0727272727272728,498.0175438596491,114,2.1454545454545455,461.271186440678,118,0.47961290322580646,0.5203870967741936,0.5105391892377972,0.4894608107622028,0.3579594004757396,0.6420405995242604,134
53,398,3.9622641509433962,553.3904761904762,210,3.547169811320755,512.1808510638298,188,1.9056603773584906,501.16831683168317,101,1.6603773584905661,438.0113636363636,88,2.056603773584906,601.7798165137615,109,1.8867924528301887,577.45,100,0.5677018494218454,0.4322981505781546,0.5318188083250229,0.46818119167497707,0.4195866391845724,0.5804133608154276,135
55,412,3.8363636363636364,449.92890995260666,211,3.6545454545454548,492.82089552238807,201,1.8181818181818181,458.86,100,1.7818181818181817,420.3775510204082,98,2.018181818181818,441.8828828828829,111,1.8727272727272728,561.747572815534,103,0.5269225910912577,0.4730774089087422,0.4587920567959667,0.5412079432040333,0.44889995463730464,0.5511000453626954,136
49,463,5.591836734693878,963.1788321167883,274,3.857142857142857,654.6931216931217,189,2.36734693877551,1014.7327586206897,116,1.836734693877551,730.8555555555556,90,3.2244897959183674,925.3291139240506,158,2.020408163265306,585.4545454545455,99,0.6415148839693492,0.35848511603065086,0.71610779674964,0.28389220325036,0.473331475978207,0.526668524021793,137
