subject,game,trial_number,decision_label,category,prop,chance,valence_label,delta_from_chance
103,2,10,leave,irr_neg,0.0,0.16666666666666666,negative,-0.16666666666666666
103,2,11,take,irr_neg,0.2822896281800391,0.3333333333333333,negative,-0.051043705153294205
103,2,12,leave,irr_neg,0.2978197000154631,0.3333333333333333,negative,-0.03551363331787022
103,2,13,take,irr_neg,0.5900440705128205,0.3333333333333333,negative,0.25671073717948717
103,2,14,leave,irr_neg,0.0,0.16666666666666666,negative,-0.16666666666666666
103,2,15,leave,irr_neg,0.11091944109021908,0.16666666666666666,negative,-0.05574722557644758
103,2,16,take,irr_neg,0.2879847974432064,0.16666666666666666,negative,0.12131813077653972
103,3,17,take,irr_neg,0.236901620806634,0.3333333333333333,negative,-0.09643171252669933
103,3,18,take,irr_neg,0.0,0.16666666666666666,negative,-0.16666666666666666
103,3,19,leave,irr_neg,0.5856863789735394,0.3333333333333333,negative,0.25235304564020605
103,3,20,take,irr_neg,0.2295767287928932,0.3333333333333333,negative,-0.10375660454044011
103,3,21,leave,irr_neg,0.0,0.16666666666666666,negative,-0.16666666666666666
103,3,22,take,irr_neg,0.0,0.16666666666666666,negative,-0.16666666666666666
103,3,23,take,irr_neg,0.4866961111709577,0.3333333333333333,negative,0.15336277783762436
103,3,24,take,irr_neg,0.009028012149848127,0.16666666666666666,negative,-0.15763865451681852
103,4,25,take,irr_neg,0.4908175758400218,0.16666666666666666,negative,0.3241509091733551
103,4,26,leave,irr_neg,0.3083363021018881,0.16666666666666666,negative,0.14166963543522146
103,4,27,take,irr_neg,0.22105764649833254,0.16666666666666666,negative,0.05439097983166588
103,4,28,leave,irr_neg,0.3127327746741155,0.16666666666666666,negative,0.14606610800744882
103,4,29,take,irr_neg,0.22143041126470336,0.16666666666666666,negative,0.05476374459803671
103,4,30,leave,irr_neg,0.02127659574468085,0.16666666666666666,negative,-0.1453900709219858
103,4,31,leave,irr_neg,0.010904134484325307,0.16666666666666666,negative,-0.15576253218234135
103,4,32,take,irr_neg,0.09755532383269609,0.16666666666666666,negative,-0.06911134283397057
103,5,33,take,irr_neg,0.3769488066216906,0.3333333333333333,negative,0.0436154732883573
103,5,34,leave,irr_neg,0.39641876878839366,0.3333333333333333,negative,0.06308543545506035
103,5,35,leave,irr_neg,0.17219641672196417,0.3333333333333333,negative,-0.16113691661136914
103,5,36,leave,irr_neg,0.37051320083061406,0.3333333333333333,negative,0.03717986749728075
103,5,37,leave,irr_neg,0.21282356763782087,0.3333333333333333,negative,-0.12050976569551244
103,5,38,leave,irr_neg,0.8102584652374274,0.3333333333333333,negative,0.4769251319040941
103,6,41,leave,irr_neg,0.39586631739543454,0.3333333333333333,negative,0.06253298406210123
103,6,42,leave,irr_neg,0.13018407629186074,0.3333333333333333,negative,-0.20314925704147258
103,6,43,take,irr_neg,0.4222077559750767,0.3333333333333333,negative,0.08887442264174339
103,6,44,take,irr_neg,0.650513248985438,0.3333333333333333,negative,0.31717991565210474
103,6,45,leave,irr_neg,0.33524624373956596,0.3333333333333333,negative,0.0019129104062326485
103,6,47,leave,irr_neg,0.42899702085402186,0.3333333333333333,negative,0.09566368752068855
103,6,48,leave,irr_neg,0.2510235115218154,0.3333333333333333,negative,-0.08230982181151791
103,7,49,leave,irr_neg,0.0,0.16666666666666666,negative,-0.16666666666666666
103,7,50,leave,irr_neg,0.0,0.0,negative,0.0
