perm,cv_accuracy
226,0.576575398656617
227,0.5875793106948886
228,0.5805952930318413
229,0.5707506537455777
230,0.586589513222679
231,0.5740860380454288
232,0.5904783879403169
233,0.5755960621442855
234,0.5580579666006801
235,0.5708745748946754
236,0.5578526380556837
237,0.5616161616161616
238,0.5907974214506877
239,0.5800902425267909
240,0.5693949545708341
241,0.5601010101010101
242,0.5691919191919192
243,0.5561221350561453
244,0.5648621897365615
245,0.5839627430079691
246,0.5759834526166183
247,0.5522765728349485
248,0.5726384447489975
249,0.5718694482513578
250,0.5699050809603573
251,0.5668620882188722
252,0.5659385735527869
253,0.5681818181818182
254,0.5724074920054819
255,0.575665282264267
256,0.5933632810517231
257,0.570930409623877
258,0.577480838536115
259,0.5738871123293234
260,0.5767266574373173
261,0.5893939393939394
262,0.5896122024262728
263,0.5841357739834898
264,0.5662707476777828
265,0.5862328872481156
266,0.5771753063631235
267,0.5873737373737373
268,0.5759656870209634
269,0.5707070707070707
270,0.5843434343434344
271,0.5622237604471106
272,0.583541444596721
273,0.5670828891934419
274,0.5864379838999129
275,0.5515151515151515
276,0.5725144849510332
277,0.5997897759319079
278,0.5814171869448251
279,0.5785648361790494
280,0.5781965382467895
281,0.5789401553220648
282,0.5925165359175512
283,0.5808080808080808
284,0.565525816541045
285,0.5797979797979798
286,0.5858585858585857
287,0.5827000974209097
288,0.5843434343434343
289,0.5566733323078501
290,0.5994949494949495
291,0.5664154232682151
292,0.5730067169153463
293,0.5740091268010049
294,0.5844639286263651
295,0.5664154103852596
296,0.5686868686868686
297,0.5607151921222273
298,0.5681818181818182
299,0.5751281660829399
300,0.5901654738338156
301,0.6038429985130493
302,0.597979797979798
303,0.5692765215607857
304,0.580435003299325
305,0.5640157924421884
306,0.5763677382966723
307,0.5538754377950358
308,0.5600248718339171
309,0.5807573219633522
310,0.5797979797979798
311,0.5769859398000101
312,0.5755037686509767
313,0.5752525252525252
314,0.5752525252525252
315,0.581582320668615
316,0.5746484950002538
317,0.5771635957565606
318,0.5948443829154489
319,0.575909852291762
320,0.5873737373737373
321,0.5791057785981644
322,0.5661616161616163
323,0.5497182884117557
324,0.5776559565504289
325,0.5730144080397889
326,0.5891223795746409
327,0.5815263184609918
328,0.5742424242424243
329,0.5644362405783726
330,0.5932523201558735
331,0.5838383838383837
332,0.5767016902695294
333,0.5534769808639156
334,0.5843434343434344
335,0.5720068707378352
336,0.5745654514690048
337,0.5756473363072347
338,0.592929292929293
339,0.5698482284776701
340,0.5737373737373737
341,0.5651874070655797
342,0.5759326937718897
343,0.5684920268676614
344,0.5829487771112136
345,0.5709354855083497
346,0.57815977029175
347,0.5658646769199532
348,0.577125526623014
349,0.5755242783161565
350,0.5746459570580174
351,0.5769301050708087
352,0.5712633953750704
353,0.5963682046596619
354,0.5698365565199737
355,0.585661180331231
356,0.5603471904979442
357,0.5854868481772034
358,0.5781686208821888
359,0.5909911295698097
360,0.5677434240886017
361,0.5856809299020354
362,0.5803030303030303
363,0.5563938881197764
364,0.5786000710623826
365,0.5846587704455726
366,0.575047428600728
367,0.5780674767984412
368,0.5666666666666667
369,0.5562636414395208
370,0.55175118014314
371,0.5702020202020203
372,0.5902796812344551
373,0.5909090909090909
374,0.5911045124612964
375,0.56356783919598
376,0.5764036302107367
377,0.59084564235318
378,0.5693771889751789
379,0.5843434343434344
380,0.5626877916218017
381,0.6031216689508148
382,0.5786888990406578
383,0.5941475052027816
384,0.5685904268818842
385,0.5814002973901451
386,0.5683873915029694
387,0.584430600420448
388,0.5958073194254099
389,0.5658646769199532
390,0.5823232323232322
391,0.5909090909090909
392,0.5668823917567636
393,0.5815925755012049
394,0.5734455103801838
395,0.5967387442261813
396,0.587079336074311
397,0.5925714430739556
398,0.5851586935343281
399,0.5642911527333637
400,0.5748243859918987
401,0.5843434343434344
402,0.5765316481396885
403,0.5873737373737374
404,0.5868686868686869
405,0.5669435471465928
406,0.5728643216080402
407,0.5708821887213847
408,0.5724354093700827
409,0.5779495462236579
410,0.5886300187807725
411,0.57617802389376
412,0.5802268920359372
413,0.5765548889914374
414,0.5608192477539211
415,0.5855616466169231
416,0.5592139670819873
417,0.5645373331302979
418,0.5840338053905894
419,0.5989898989898991
420,0.5743500999846178
421,0.5849664154232682
422,0.576156032688696
423,0.569897467133648
424,0.555050505050505
425,0.5982823155411987
426,0.5662180177408603
427,0.5538686355945239
428,0.5717171717171717
429,0.588498045784478
430,0.572816100705548
431,0.5595959595959595
432,0.5613982464236271
433,0.5747038917089677
434,0.5518958428506167
435,0.5652327293030811
436,0.5752525252525252
437,0.5744193201045993
438,0.5535353535353535
439,0.5537409268565047
440,0.5808080808080808
441,0.5787904167301152
442,0.5735374045018715
443,0.5629866504238363
444,0.5684127709253337
445,0.5614085012562169
446,0.5716131160854779
447,0.5873737373737373
448,0.5721181665905284
449,0.586868686868687
450,0.597979797979798
451,0.6027815846911324
452,0.5722222222222222
453,0.5669435471465929
454,0.5645131518227965
455,0.5836973798902733
456,0.5753140542480645
457,0.5794985026140804
458,0.5664615700148695
459,0.5706816912847065
460,0.5421679102583624
461,0.5740245090498898
462,0.5875869245215979
463,0.5677588063374865
464,0.5875894624638344
465,0.5813131313131312
466,0.5656235724074921
467,0.582415525816541
468,0.5963467158898632
469,0.5944444444444444
470,0.5710522308512258
471,0.563131313131313
472,0.5717171717171718
473,0.55938317181972
474,0.5830465458606162
475,0.5853535353535354
476,0.5783956314413167
477,0.5683664051684356
478,0.5909090909090909
479,0.5890893863255673
480,0.5662410911141875
481,0.5901147149890869
482,0.5701157301659813
483,0.5674052078574692
484,0.5764174407390488
