subject,predictor,mean,sd,lo,hi
106,abs_reward_k_z,0.013532073061253699,0.06240327510330051,-0.10776118481822648,0.13296670895734294
106,signed_reward_k_z,0.056110624026357234,0.05070704398729143,-0.0358257816970243,0.16448406320793707
106,is_prev_fixation_k_z,0.1241211845309517,0.07068076253174108,-0.012978371040896818,0.26224032787688795
108,share_k_z,0.09885686609715573,0.037471072224286646,0.031025889110511084,0.1768761785727373
108,dist_cw_z,-0.07240174601960493,0.033929737976850304,-0.13981456916318064,-0.006000928688373327
108,dist_ccw_z,-0.04089385603294133,0.043599951351414326,-0.1212832342634589,0.04682883150278509
108,enc_lag_fwd_z,-0.17165210575290063,0.07373775476145822,-0.3178902789283779,-0.029332741556768724
108,enc_lag_bwd_z,-0.22979277067387016,0.08149067198670934,-0.39921243587517075,-0.08245429834718325
108,is_primacy_k_z,0.008936762624464209,0.05462443337064538,-0.10000640135745535,0.11486509671231687
108,is_recency_k_z,0.00947117638091414,0.05156375494593805,-0.09293687470728985,0.1107381783634265
108,abs_reward_k_z,0.029945168968867463,0.04149272794083348,-0.05022036489331778,0.11496439912800022
108,signed_reward_k_z,0.0674460740002696,0.038643859802891214,-0.006325578140225754,0.14689173221362084
108,is_prev_fixation_k_z,0.17583501313863628,0.03732723355392684,0.10324832911409182,0.24816179761848
109,share_k_z,0.07564039829108259,0.053205130861439194,-0.025599561167632314,0.18756604603648427
109,dist_cw_z,-0.0597035113600307,0.0542779628916102,-0.1662451099196856,0.053967431468170256
109,dist_ccw_z,-0.13236419500974636,0.09072994814723107,-0.3143886121480242,0.03874702591892335
109,enc_lag_fwd_z,-0.06641386075736357,0.12127816751654714,-0.3053337400141919,0.18222450650475508
109,enc_lag_bwd_z,-0.06660006026520293,0.12491229855767379,-0.32810475471562894,0.17425007003336407
109,is_primacy_k_z,0.04547503150270809,0.08567656552111043,-0.11574622803504928,0.22821695092357347
109,is_recency_k_z,0.054816235278255854,0.0800505245988956,-0.08195948534692654,0.23319793419187196
109,abs_reward_k_z,-0.005170359952022374,0.07747472332459339,-0.1629702233247726,0.1460050822012958
109,signed_reward_k_z,0.012618016222247367,0.06040032171658156,-0.10953829801034093,0.13756409443339151
109,is_prev_fixation_k_z,0.13496615557992314,0.10890813933679896,-0.07348685430912542,0.3525948125672976
110,share_k_z,0.013150086206817959,0.02999785590150391,-0.0457275761747265,0.06863606443396725
110,dist_cw_z,-0.02676699255355394,0.02944959635302921,-0.08252485046132645,0.033181532596839355
110,dist_ccw_z,-0.06608756557177906,0.034142095702073466,-0.13479088511517012,-0.00014697606156742366
110,enc_lag_fwd_z,-0.059960258745113,0.06051007687270438,-0.17631714369683976,0.055169026942795484
110,enc_lag_bwd_z,0.0692422968492685,0.06690154238369136,-0.06099541568992473,0.20316472827369814
110,is_primacy_k_z,0.032822826144174394,0.04481059973638349,-0.05760452027685769,0.11896915914489657
