game,recalled_item,recall_onset,recall_offset,recall_duration,window,total_fixations_all,total_fixations_images,fixations_at_target,fixations_at_other_images,fixations_center,fixations_none,proportion_at_target,proportion_at_other_images,total_fixation_duration_all,total_fixation_duration_images,duration_at_target,duration_at_other_images,duration_center,duration_none,proportion_duration_at_target,proportion_duration_at_other_images
5,Object_Sea_Solid_Small,7100,8100,1000,during_recall,1,1,0,1,0,0,0.0,1.0,156.0,156.0,0.0,156.0,0.0,0.0,0.0,1.0
5,Object_Land_Pattern_Small,8700,9600,900,pre_recall,4,0,0,0,0,4,0.0,0.0,1242.0,0.0,0.0,0.0,0.0,1242.0,0.0,0.0
5,Object_Land_Pattern_Small,8700,9600,900,during_recall,3,0,0,0,0,3,0.0,0.0,580.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0
5,Animal_Sea_Solid_Small,10100,11000,900,pre_recall,2,0,0,0,0,2,0.0,0.0,456.0,0.0,0.0,0.0,0.0,456.0,0.0,0.0
5,Animal_Sea_Solid_Small,10100,11000,900,during_recall,2,2,0,2,0,0,0.0,1.0,78.0,78.0,0.0,78.0,0.0,0.0,0.0,1.0
6,Animal_Land_Solid_Large,3300,3600,300,pre_recall,2,2,0,2,0,0,0.0,1.0,47.0,47.0,0.0,47.0,0.0,0.0,0.0,1.0
6,Animal_Land_Solid_Large,3300,3600,300,during_recall,1,1,0,1,0,0,0.0,1.0,67.0,67.0,0.0,67.0,0.0,0.0,0.0,1.0
6,Object_Sea_Pattern_Small,5200,6100,900,pre_recall,4,3,1,2,0,1,0.3333333333333333,0.6666666666666666,1391.0,1159.0,357.0,802.0,0.0,232.0,0.3080241587575496,0.6919758412424504
6,Object_Sea_Pattern_Small,5200,6100,900,during_recall,1,1,0,1,0,0,0.0,1.0,29.0,29.0,0.0,29.0,0.0,0.0,0.0,1.0
6,Object_Sea_Solid_Small,6100,7300,1200,pre_recall,4,3,0,3,0,1,0.0,1.0,1391.0,1159.0,0.0,1159.0,0.0,232.0,0.0,1.0
6,Object_Sea_Solid_Small,6100,7300,1200,during_recall,1,0,0,0,0,1,0.0,0.0,253.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0
6,Object_Land_Pattern_Large,11700,12400,700,pre_recall,6,0,0,0,0,6,0.0,0.0,2504.0,0.0,0.0,0.0,0.0,2504.0,0.0,0.0
6,Object_Land_Pattern_Large,11700,12400,700,during_recall,1,1,0,1,0,0,0.0,1.0,33.0,33.0,0.0,33.0,0.0,0.0,0.0,1.0
6,Animal_Sea_Solid_Large,17500,18200,700,pre_recall,6,0,0,0,0,6,0.0,0.0,2475.0,0.0,0.0,0.0,0.0,2475.0,0.0,0.0
6,Animal_Sea_Solid_Large,17500,18200,700,during_recall,1,0,0,0,0,1,0.0,0.0,95.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0
7,Animal_Land_Solid_Large,1700,2500,800,pre_recall,3,3,3,0,0,0,1.0,0.0,734.0,734.0,734.0,0.0,0.0,0.0,1.0,0.0
7,Animal_Land_Solid_Large,1700,2500,800,during_recall,1,1,0,1,0,0,0.0,1.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,1.0
7,Animal_Sea_Solid_Small,3100,3900,800,pre_recall,4,4,0,4,0,0,0.0,1.0,1280.0,1280.0,0.0,1280.0,0.0,0.0,0.0,1.0
7,Animal_Sea_Solid_Small,3100,3900,800,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Object_Land_Pattern_Large,4600,5200,600,pre_recall,3,3,0,3,0,0,0.0,1.0,1297.0,1297.0,0.0,1297.0,0.0,0.0,0.0,1.0
7,Object_Land_Pattern_Large,4600,5200,600,during_recall,1,1,0,1,0,0,0.0,1.0,75.0,75.0,0.0,75.0,0.0,0.0,0.0,1.0
7,Object_Sea_Pattern_Large,6200,6900,700,pre_recall,5,5,2,3,0,0,0.4,0.6,1533.0,1533.0,734.0,799.0,0.0,0.0,0.47879973907371165,0.5212002609262884
7,Object_Sea_Pattern_Large,6200,6900,700,during_recall,2,2,0,2,0,0,0.0,1.0,372.0,372.0,0.0,372.0,0.0,0.0,0.0,1.0
7,Animal_Sea_Pattern_Small,7700,8100,400,pre_recall,5,5,2,3,0,0,0.4,0.6,1275.0,1275.0,347.0,928.0,0.0,0.0,0.27215686274509804,0.7278431372549019
7,Animal_Sea_Pattern_Small,7700,8100,400,during_recall,2,2,0,2,0,0,0.0,1.0,261.0,261.0,0.0,261.0,0.0,0.0,0.0,1.0
7,Object_Land_Solid_Small,9300,10000,700,pre_recall,4,4,1,3,0,0,0.25,0.75,1382.0,1382.0,609.0,773.0,0.0,0.0,0.4406657018813314,0.5593342981186686
7,Object_Land_Solid_Small,9300,10000,700,during_recall,2,2,0,2,0,0,0.0,1.0,307.0,307.0,0.0,307.0,0.0,0.0,0.0,1.0
