thisRow.t,notes,phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
,,memory,spatial_recall,264.96944950008765,266.82584141672123,24,4,Object_Sea_Solid_Large,,,1,1.85259779158514,,,,,,"[0, -380]","[0, -380]",
,,memory,spatial_recall,268.65215737500694,270.23687550006434,24,4,Animal_Sea_Solid_Large,,,1,1.581144249998033,,,,,,"[0, 380]","[0, 380]",
,,memory,spatial_recall,271.56589466670994,273.80557195842266,24,4,Object_Land_Solid_Small,,,1,2.2352630832465366,,,,,,"[329, 189]","[329, 189]",
,,memory,spatial_recall,275.38564262504224,277.5215148749994,24,4,Object_Land_Pattern_Small,,,1,2.1323620417388156,,,,,,"[-329, 190]","[-329, 190]",
,,memory,spatial_recall,279.3473884166451,281.07577820844017,24,4,Animal_Sea_Pattern_Large,,,1,1.7228542499942705,,,,,,"[-329, -190]","[-329, -190]",
,,memory,spatial_recall,282.39885004167445,284.55271145841107,24,4,Animal_Land_Pattern_Small,,,1,2.1505012082634494,,,,,,"[329, -190]","[329, -190]",
,,encoding,fixation,6.235906083253212,7.489696791628376,25,5,Object_Sea_Solid_Small,-9,,,,,,,,,,,
,,encoding,image,7.48980054166168,8.498066291678697,25,5,Object_Sea_Solid_Small,-9,,,,,,,,,,,
,,encoding,value,8.498209583340213,14.507249125046656,25,5,Object_Sea_Solid_Small,-9,,,,,,,,,,,
,,encoding,attention,14.507359249982983,17.5204370416468,25,5,Object_Sea_Solid_Small,-9,-9,1,2.384554500109516,,,,,,,,
,,encoding,fixation,17.520566208288074,19.02378329169005,26,5,Animal_Land_Pattern_Large,-7,,,,,,,,,,,
,,encoding,image,19.02387037500739,20.031730125076137,26,5,Animal_Land_Pattern_Large,-7,,,,,,,,,,,
,,encoding,value,20.031825791695155,26.040563333313912,26,5,Animal_Land_Pattern_Large,-7,,,,,,,,,,,
