subject_id,fixation_position,valence_diff,prop_positive,prop_negative,group,decision
H122,2,0.0,0.30434782608695654,0.30434782608695654,human,leave
H122,3,-0.2631578947368421,0.15789473684210525,0.42105263157894735,human,leave
H122,4,-0.07142857142857145,0.2857142857142857,0.35714285714285715,human,leave
H122,5,0.09090909090909088,0.2727272727272727,0.18181818181818182,human,leave
H122,6,0.10000000000000003,0.4,0.3,human,leave
H122,7,0.16666666666666663,0.4444444444444444,0.2777777777777778,human,leave
H123,1,0.06896551724137931,0.3103448275862069,0.2413793103448276,human,leave
H123,2,-0.06896551724137931,0.2413793103448276,0.3103448275862069,human,leave
H123,3,0.06896551724137934,0.3448275862068966,0.27586206896551724,human,leave
H123,4,0.14285714285714288,0.32142857142857145,0.17857142857142858,human,leave
H123,5,-0.2222222222222222,0.1111111111111111,0.3333333333333333,human,leave
H123,6,0.33333333333333326,0.5416666666666666,0.20833333333333334,human,leave
H123,7,-0.27272727272727276,0.13636363636363635,0.4090909090909091,human,leave
H124,1,0.18181818181818185,0.4090909090909091,0.22727272727272727,human,leave
H124,2,0.0,0.3684210526315789,0.3684210526315789,human,leave
H124,3,0.0,0.25,0.25,human,leave
H124,4,0.26666666666666666,0.5333333333333333,0.26666666666666666,human,leave
H124,5,0.3076923076923077,0.38461538461538464,0.07692307692307693,human,leave
H124,6,-0.16666666666666666,0.16666666666666666,0.3333333333333333,human,leave
H124,7,0.41666666666666663,0.4583333333333333,0.041666666666666664,human,leave
H125,1,-0.037037037037037035,0.2962962962962963,0.3333333333333333,human,leave
H125,2,-0.4,0.16,0.56,human,leave
H125,3,0.040000000000000036,0.4,0.36,human,leave
H125,4,-0.43999999999999995,0.16,0.6,human,leave
H125,5,-0.20833333333333331,0.25,0.4583333333333333,human,leave
H125,6,-0.16666666666666666,0.16666666666666666,0.3333333333333333,human,leave
H125,7,-0.047619047619047616,0.35714285714285715,0.40476190476190477,human,leave
H126,1,-0.17241379310344826,0.20689655172413793,0.3793103448275862,human,leave
H126,2,-0.3448275862068966,0.13793103448275862,0.4827586206896552,human,leave
H126,3,-0.32142857142857145,0.14285714285714285,0.4642857142857143,human,leave
H126,4,0.038461538461538464,0.23076923076923078,0.19230769230769232,human,leave
H126,5,-0.038461538461538436,0.3076923076923077,0.34615384615384615,human,leave
H126,6,-0.08333333333333331,0.25,0.3333333333333333,human,leave
H126,7,-0.10416666666666669,0.1875,0.2916666666666667,human,leave
H127,1,-0.14285714285714285,0.07142857142857142,0.21428571428571427,human,leave
H127,2,-0.3333333333333333,0.0,0.3333333333333333,human,leave
H128,1,0.25,0.5,0.25,human,leave
H128,2,-0.25,0.0,0.25,human,leave
H128,3,0.09090909090909094,0.36363636363636365,0.2727272727272727,human,leave
H128,4,0.0,0.3333333333333333,0.3333333333333333,human,leave
H128,5,-0.125,0.375,0.5,human,leave
H128,6,0.0,0.25,0.25,human,leave
H128,7,-0.16666666666666666,0.16666666666666666,0.3333333333333333,human,leave
H129,1,0.16666666666666666,0.375,0.20833333333333334,human,leave
