subject_id,fixation_position,valence_diff,prop_positive,prop_negative,group,decision
H109,2,0.5555555555555556,0.6666666666666666,0.1111111111111111,human,take
H109,3,-0.6,0.0,0.6,human,take
H109,4,0.5,0.75,0.25,human,take
H109,5,0.0,0.25,0.25,human,take
H109,6,0.0,0.3333333333333333,0.3333333333333333,human,take
H109,7,1.0,1.0,0.0,human,take
H109,8,1.0,1.0,0.0,human,take
H110,1,-0.03448275862068967,0.27586206896551724,0.3103448275862069,human,take
H110,2,0.13793103448275862,0.3103448275862069,0.1724137931034483,human,take
H110,3,-0.03448275862068967,0.20689655172413793,0.2413793103448276,human,take
H110,4,-0.07142857142857142,0.21428571428571427,0.2857142857142857,human,take
H110,5,0.07142857142857142,0.2857142857142857,0.21428571428571427,human,take
H110,6,-0.15384615384615385,0.15384615384615385,0.3076923076923077,human,take
H110,7,0.04166666666666666,0.25,0.20833333333333334,human,take
H110,8,0.0,0.2608695652173913,0.2608695652173913,human,take
H110,9,-0.09090909090909094,0.2727272727272727,0.36363636363636365,human,take
H110,10,0.14285714285714285,0.3333333333333333,0.19047619047619047,human,take
H110,11,-0.10526315789473684,0.21052631578947367,0.3157894736842105,human,take
H110,12,0.0625,0.25,0.1875,human,take
H110,13,0.19999999999999998,0.3333333333333333,0.13333333333333333,human,take
H110,14,0.0714285714285714,0.42857142857142855,0.35714285714285715,human,take
H110,15,0.15384615384615385,0.23076923076923078,0.07692307692307693,human,take
H110,16,0.18181818181818182,0.45454545454545453,0.2727272727272727,human,take
H110,17,0.0,0.2222222222222222,0.2222222222222222,human,take
H110,18,-0.125,0.25,0.375,human,take
H110,19,0.125,0.25,0.125,human,take
H110,20,0.16666666666666666,0.3333333333333333,0.16666666666666666,human,take
H110,21,-0.2,0.0,0.2,human,take
H110,22,0.4,0.4,0.0,human,take
H110,23,-0.2,0.0,0.2,human,take
H110,24,0.2,0.2,0.0,human,take
H110,25,0.4,0.4,0.0,human,take
H110,26,-0.2,0.0,0.2,human,take
H110,27,0.75,0.75,0.0,human,take
H110,28,0.0,0.0,0.0,human,take
H110,29,-0.25,0.25,0.5,human,take
H110,30,0.25,0.25,0.0,human,take
H110,31,-0.25,0.0,0.25,human,take
H110,32,0.25,0.25,0.0,human,take
H110,33,-0.25,0.0,0.25,human,take
H110,34,-0.25,0.25,0.5,human,take
H110,35,-0.25,0.0,0.25,human,take
H110,36,-0.25,0.25,0.5,human,take
H110,37,-0.25,0.0,0.25,human,take
H110,38,-0.3333333333333333,0.3333333333333333,0.6666666666666666,human,take
H110,39,0.0,0.3333333333333333,0.3333333333333333,human,take
H110,40,-0.6666666666666666,0.0,0.6666666666666666,human,take
H110,41,-0.6666666666666666,0.0,0.6666666666666666,human,take
H110,42,-0.6666666666666666,0.0,0.6666666666666666,human,take
H110,43,0.5,0.5,0.0,human,take
H110,44,0.0,0.5,0.5,human,take
H110,45,0.0,0.0,0.0,human,take
H111,1,0.14285714285714285,0.23809523809523808,0.09523809523809523,human,take
H111,2,0.0,0.3,0.3,human,take
H111,3,0.0,0.0,0.0,human,take
H111,4,-1.0,0.0,1.0,human,take
H111,5,0.0,0.0,0.0,human,take
H113,1,0.1875,0.4375,0.25,human,take
H113,2,-0.18181818181818182,0.18181818181818182,0.36363636363636365,human,take
H113,3,0.2857142857142857,0.5714285714285714,0.2857142857142857,human,take
H113,4,0.3333333333333333,0.3333333333333333,0.0,human,take
H113,5,-1.0,0.0,1.0,human,take
H113,6,0.0,0.5,0.5,human,take
H114,1,0.28125,0.5,0.21875,human,take
H114,2,-0.15625,0.125,0.28125,human,take
H114,3,0.125,0.34375,0.21875,human,take
H114,4,-0.125,0.15625,0.28125,human,take
H114,5,0.2666666666666667,0.43333333333333335,0.16666666666666666,human,take
H114,6,-0.2413793103448276,0.2413793103448276,0.4827586206896552,human,take
H114,7,0.1111111111111111,0.2962962962962963,0.18518518518518517,human,take
H114,8,-0.11538461538461536,0.3076923076923077,0.4230769230769231,human,take
H114,9,0.25,0.4166666666666667,0.16666666666666666,human,take
H114,10,-0.09523809523809523,0.2857142857142857,0.38095238095238093,human,take
H114,11,0.38888888888888895,0.5555555555555556,0.16666666666666666,human,take
H114,12,0.2857142857142857,0.42857142857142855,0.14285714285714285,human,take
H114,13,0.08333333333333331,0.3333333333333333,0.25,human,take
