phase,event,trial_number,eyetracker_onset,eyetracker_offset,fix_start,fix_end,fix_duration_full,fix_duration_bounded,fix_x,fix_y,roi_x,roi_y,roi_content,thisRow.t,notes,onset,offset,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,Unnamed: 20
encoding,value,3,25448152,25454162,25449887.0,25451448.0,1562.0,1562.0,2201.8,806.8,2249.0,1269.0,Animal_Land_Pattern_Small,,,36.40792141665588,42.41713362498558,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
encoding,value,3,25448152,25454162,25451465.0,25451871.0,407.0,407.0,2204.4,873.4000000000001,2249.0,1269.0,Animal_Land_Pattern_Small,,,36.40792141665588,42.41713362498558,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
encoding,value,3,25448152,25454162,25451881.0,25452405.0,525.0,525.0,2206.5,910.8,2249.0,1269.0,Animal_Land_Pattern_Small,,,36.40792141665588,42.41713362498558,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
encoding,value,3,25448152,25454162,25452651.0,25452787.0,137.0,137.0,1806.9,1022.0,1591.0,1269.0,Animal_Land_Solid_Small,,,36.40792141665588,42.41713362498558,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
encoding,value,3,25448152,25454162,25452819.0,25453204.0,386.0,386.0,1405.2,1008.3,1591.0,1269.0,Animal_Land_Solid_Small,,,36.40792141665588,42.41713362498558,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
encoding,value,3,25448152,25454162,25453269.0,25453589.0,321.0,321.0,2210.0,837.5,2249.0,1269.0,Animal_Land_Pattern_Small,,,36.40792141665588,42.41713362498558,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
encoding,value,3,25448152,25454162,25453825.0,25454123.0,299.0,299.0,2398.0,315.0,,,none,,,36.40792141665588,42.41713362498558,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
encoding,attention,3,25454162,25457176,25454194.0,25454456.0,263.0,263.0,2269.2,812.0,2249.0,1269.0,Animal_Land_Pattern_Small,,,42.41727074998198,45.431068333331496,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
encoding,attention,3,25454162,25457176,25454474.0,25454892.0,419.0,419.0,2166.9,790.5,2249.0,1269.0,Animal_Land_Pattern_Small,,,42.41727074998198,45.431068333331496,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
encoding,attention,3,25454162,25457176,25455130.0,25455288.0,159.0,159.0,2091.7,1099.0,2249.0,891.0,Object_Land_Pattern_Small,,,42.41727074998198,45.431068333331496,1.0,Animal_Land_Pattern_Small,-8.0,,,,,,,,,,,
