subject,game,trial_number,decision_label,feature_dim,option,choice,correct,prop_relevant,chance_relevant,delta_relevant
105,4,31,take,environment,Land,1.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
105,4,32,leave,animacy,Animal,0.0,0.0,0.2607313195548489,0.4999999999999999,-0.2392686804451509
105,5,33,leave,texture,Pattern,0.0,0.0,0.6666666666666667,0.4999999999999999,0.16666666666666682
105,5,34,leave,animacy,Animal,0.0,1.0,0.1534883720930232,0.4999999999999999,-0.3465116279069766
105,5,35,leave,environment,Sea,0.0,0.0,0.0798056904927134,0.5,-0.4201943095072866
105,5,36,leave,animacy,Object,0.0,0.0,0.2714828897338403,0.4999999999999999,-0.2285171102661595
105,5,37,leave,environment,Land,0.0,1.0,0.6599455040871935,0.5,0.1599455040871935
105,5,38,take,size,Large,1.0,0.0,0.0,0.5,-0.5
105,5,39,take,texture,Solid,1.0,0.0,1.0,0.4999999999999999,0.5
105,5,40,take,size,Small,1.0,1.0,0.3463414634146341,0.5,-0.1536585365853658
105,6,41,take,texture,Solid,1.0,0.0,0.0,0.4999999999999999,-0.4999999999999999
105,6,42,take,size,Small,1.0,0.0,0.9338737201365188,0.4999999999999999,0.4338737201365188
105,6,43,take,animacy,Object,1.0,0.0,0.2468827930174563,0.4999999999999999,-0.2531172069825435
105,6,44,leave,environment,Sea,0.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
105,6,45,leave,animacy,Animal,0.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
105,6,46,leave,texture,Pattern,0.0,1.0,0.0,0.5,-0.5
105,6,48,leave,size,Large,0.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
105,7,49,take,texture,Pattern,1.0,1.0,0.7097415506958251,0.4999999999999999,0.209741550695825
105,7,50,take,animacy,Animal,1.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
105,7,51,take,animacy,Object,1.0,0.0,0.5313351498637602,0.5,0.0313351498637601
105,7,52,take,texture,Solid,1.0,0.0,0.6209751609935602,0.4999999999999999,0.12097516099356029
105,7,53,take,size,Small,1.0,1.0,1.0,0.4999999999999999,0.5000000000000001
105,7,54,leave,environment,Land,0.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
106,1,1,take,animacy,Animal,1.0,0.0,0.32735104091888,0.4999999999999999,-0.17264895908111988
106,1,2,take,texture,Solid,1.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
106,2,10,take,animacy,Object,1.0,1.0,1.0,0.4999999999999999,0.5000000000000001
106,2,11,leave,size,Small,0.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
106,2,14,leave,environment,Sea,0.0,0.0,0.2289527720739219,0.4999999999999999,-0.2710472279260779
106,2,16,take,animacy,Animal,1.0,0.0,0.5781584582441114,0.4999999999999999,0.07815845824411141
106,3,17,leave,size,Large,0.0,1.0,0.6096491228070176,0.4999999999999999,0.10964912280701752
106,3,18,take,size,Small,1.0,0.0,1.0,0.4999999999999999,0.5
106,3,19,take,environment,Land,1.0,1.0,0.6512758201701093,0.4999999999999999,0.15127582017010938
106,3,20,leave,texture,Solid,0.0,1.0,1.0,0.4999999999999999,0.4999999999999999
106,3,21,leave,environment,Sea,0.0,1.0,0.3243243243243243,0.4999999999999999,-0.1756756756756755
106,3,22,take,animacy,Object,1.0,0.0,0.9646017699115044,0.4999999999999999,0.4646017699115044
106,3,24,take,animacy,Animal,1.0,0.0,1.0,0.4999999999999999,0.5000000000000001
106,4,25,leave,animacy,Object,0.0,1.0,0.39487828011381587,0.4999999999999999,-0.10512171988618399
106,4,26,leave,animacy,Animal,0.0,0.0,0.9980763065084963,0.4999999999999999,0.49807630650849655
106,4,27,take,texture,Pattern,1.0,0.0,1.0,0.5,0.5
106,4,28,leave,size,Large,0.0,1.0,1.0,0.4999999999999999,0.5000000000000001
106,4,29,take,environment,Land,1.0,0.0,1.0,0.5,0.5
106,4,30,leave,texture,Solid,0.0,1.0,0.7558804831532104,0.4999999999999999,0.25588048315321055
106,4,31,take,environment,Sea,1.0,0.0,0.756360832690825,0.4999999999999999,0.2563608326908251
106,4,32,take,size,Small,1.0,0.0,1.0,0.5,0.5
106,5,33,take,environment,Land,1.0,1.0,0.47396310349339255,0.4999999999999999,-0.0260368965066073
106,5,34,leave,size,Small,0.0,1.0,0.2747975708502024,0.4999999999999999,-0.2252024291497974
106,5,35,take,texture,Pattern,1.0,1.0,0.2511893434823977,0.4999999999999999,-0.2488106565176023
106,5,36,take,animacy,Animal,1.0,1.0,0.5294685990338164,0.4999999999999999,0.029468599033816406
106,5,37,take,size,Large,1.0,1.0,0.8757894736842106,0.4999999999999999,0.37578947368421056
106,5,38,leave,animacy,Object,0.0,1.0,0.4788577704557935,0.4999999999999999,-0.021142229544206415
106,5,39,leave,texture,Solid,0.0,1.0,0.7795389048991355,0.4999999999999999,0.27953890489913547
106,5,40,leave,environment,Sea,0.0,1.0,0.596100278551532,0.4999999999999999,0.09610027855153211
106,6,41,take,environment,Land,1.0,1.0,0.569202718382231,0.4999999999999999,0.0692027183822311
106,6,42,take,animacy,Animal,1.0,1.0,0.4464454976303317,0.4999999999999999,-0.0535545023696682
106,6,43,leave,animacy,Object,0.0,0.0,0.5289873102761881,0.4999999999999999,0.0289873102761882
106,6,44,leave,environment,Sea,0.0,0.0,0.4981078524124881,0.4999999999999999,-0.0018921475875118
106,6,45,take,size,Large,1.0,1.0,1.0,0.4999999999999999,0.5
106,6,46,leave,size,Small,0.0,1.0,1.0,0.4999999999999999,0.5000000000000001
106,6,47,take,texture,Pattern,1.0,1.0,1.0,0.4999999999999999,0.5
106,7,49,take,texture,Solid,1.0,1.0,0.6220672162333545,0.4999999999999999,0.12206721623335451
106,7,51,take,animacy,Animal,1.0,0.0,0.7362637362637362,0.4999999999999999,0.2362637362637363
106,7,52,leave,environment,Land,0.0,1.0,0.826555023923445,0.4999999999999999,0.32655502392344515
106,7,54,leave,texture,Pattern,0.0,1.0,1.0,0.4999999999999999,0.5000000000000001
106,7,55,take,environment,Sea,1.0,1.0,0.0,0.4999999999999999,-0.4999999999999999
106,7,56,take,size,Small,1.0,1.0,0.0,0.5,-0.5
